0czujnik1,40.07, czujnik2,15.05, czujnik3,9.83
czujnik1,39.54, czujnik2,16.28, czujnik3,9.91
czujnik1,39.66, czujnik2,40.15, czujnik3,8.54
czujnik1,40.02, czujnik2,15.80, czujnik3,7.76
czujnik1,39.66, czujnik2,16.22, czujnik3,7.21
czujnik1,40.12, czujnik2,15.82, czujnik3,9.35
czujnik1,39.97, czujnik2,39.69, czujnik3,8.62
czujnik1,39.64, czujnik2,17.04, czujnik3,7.30
czujnik1,40.05, czujnik2,39.71, czujnik3,8.47
czujnik1,39.13, czujnik2,39.68, czujnik3,7.70
czujnik1,39.52, czujnik2,14.88, czujnik3,6.87
czujnik1,39.66, czujnik2,40.97, czujnik3,6.79
czujnik1,39.64, czujnik2,14.93, czujnik3,7.24
czujnik1,40.00, czujnik2,39.68, czujnik3,7.76
czujnik1,39.66, czujnik2,39.98, czujnik3,8.16
czujnik1,40.10, czujnik2,39.22, czujnik3,6.84
czujnik1,39.66, czujnik2,40.15, czujnik3,7.19
czujnik1,39.54, czujnik2,40.14, czujnik3,38.83
czujnik1,39.64, czujnik2,39.57, czujnik3,6.89
czujnik1,39.64, czujnik2,41.00, czujnik3,8.88
czujnik1,39.66, czujnik2,40.14, czujnik3,6.89
czujnik1,39.56, czujnik2,39.69, czujnik3,39.71
czujnik1,39.25, czujnik2,39.56, czujnik3,39.30
czujnik1,39.63, czujnik2,39.68, czujnik3,8.47
czujnik1,39.63, czujnik2,40.56, czujnik3,6.89
czujnik1,39.98, czujnik2,39.23, czujnik3,40.17
czujnik1,39.64, czujnik2,39.13, czujnik3,7.70
czujnik1,40.49, czujnik2,39.69, czujnik3,6.79
czujnik1,40.00, czujnik2,39.23, czujnik3,39.30
czujnik1,39.56, czujnik2,40.02, czujnik3,7.35
czujnik1,39.23, czujnik2,12.06, czujnik3,38.76
czujnik1,40.48, czujnik2,14.83, czujnik3,39.64
czujnik1,39.52, czujnik2,14.49, czujnik3,7.33
czujnik1,39.54, czujnik2,14.15, czujnik3,6.89
czujnik1,40.07, czujnik2,13.74, czujnik3,38.76
czujnik1,40.09, czujnik2,14.49, czujnik3,38.88
czujnik1,40.02, czujnik2,13.44, czujnik3,39.25
czujnik1,39.23, czujnik2,14.88, czujnik3,6.89
czujnik1,39.64, czujnik2,40.49, czujnik3,7.19
czujnik1,40.07, czujnik2,15.31, czujnik3,39.27
czujnik1,39.54, czujnik2,39.69, czujnik3,39.29
czujnik1,39.66, czujnik2,39.56, czujnik3,6.48
czujnik1,40.03, czujnik2,40.60, czujnik3,7.60
czujnik1,40.10, czujnik2,40.58, czujnik3,39.27
czujnik1,39.54, czujnik2,40.12, czujnik3,8.11
czujnik1,39.18, czujnik2,14.20, czujnik3,6.89
czujnik1,39.64, czujnik2,41.02, czujnik3,6.79
czujnik1,40.03, czujnik2,41.04, czujnik3,7.30
czujnik1,39.54, czujnik2,40.60, czujnik3,7.30
czujnik1,40.05, czujnik2,40.49, czujnik3,6.87
czujnik1,39.69, czujnik2,39.66, czujnik3,6.79
czujnik1,40.10, czujnik2,40.60, czujnik3,7.70
czujnik1,39.56, czujnik2,17.35, czujnik3,38.83
czujnik1,40.07, czujnik2,13.79, czujnik3,39.22
czujnik1,39.20, czujnik2,14.90, czujnik3,39.59
czujnik1,40.02, czujnik2,39.27, czujnik3,6.46
czujnik1,40.00, czujnik2,40.03, czujnik3,6.48
czujnik1,40.10, czujnik2,39.59, czujnik3,6.77
czujnik1,40.51, czujnik2,39.64, czujnik3,7.60
czujnik1,39.52, czujnik2,39.71, czujnik3,6.89
czujnik1,39.66, czujnik2,40.90, czujnik3,7.70
czujnik1,39.61, czujnik2,14.88, czujnik3,39.15
czujnik1,39.61, czujnik2,39.23, czujnik3,39.25
czujnik1,39.61, czujnik2,15.29, czujnik3,38.84
czujnik1,40.10, czujnik2,39.57, czujnik3,7.30
czujnik1,40.10, czujnik2,14.51, czujnik3,6.77
czujnik1,39.64, czujnik2,40.14, czujnik3,6.79
czujnik1,39.54, czujnik2,40.14, czujnik3,7.30
czujnik1,40.09, czujnik2,39.57, czujnik3,6.87
czujnik1,39.71, czujnik2,40.10, czujnik3,6.79
czujnik1,40.07, czujnik2,15.70, czujnik3,7.30
czujnik1,40.37, czujnik2,39.27, czujnik3,6.46
czujnik1,39.23, czujnik2,39.57, czujnik3,7.70
czujnik1,40.05, czujnik2,40.14, czujnik3,39.12
czujnik1,39.66, czujnik2,40.60, czujnik3,39.29
czujnik1,39.97, czujnik2,41.04, czujnik3,6.48
czujnik1,39.25, czujnik2,39.15, czujnik3,6.41
czujnik1,39.61, czujnik2,39.71, czujnik3,7.19
czujnik1,40.00, czujnik2,40.60, czujnik3,39.27
czujnik1,39.54, czujnik2,40.03, czujnik3,40.15
czujnik1,40.10, czujnik2,40.03, czujnik3,7.19
czujnik1,40.09, czujnik2,40.14, czujnik3,6.79
czujnik1,40.00, czujnik2,40.15, czujnik3,7.30
czujnik1,40.07, czujnik2,39.57, czujnik3,6.46
czujnik1,40.07, czujnik2,40.90, czujnik3,6.36
czujnik1,40.14, czujnik2,39.69, czujnik3,39.27
czujnik1,39.57, czujnik2,39.22, czujnik3,6.46
czujnik1,40.51, czujnik2,15.75, czujnik3,6.46
czujnik1,40.92, czujnik2,39.68, czujnik3,6.36
czujnik1,39.22, czujnik2,40.60, czujnik3,6.87
czujnik1,39.61, czujnik2,40.14, czujnik3,7.30
czujnik1,41.34, czujnik2,39.15, czujnik3,6.89
czujnik1,40.48, czujnik2,39.27, czujnik3,39.17
czujnik1,39.66, czujnik2,39.25, czujnik3,39.29
czujnik1,39.56, czujnik2,16.26, czujnik3,7.30
czujnik1,39.64, czujnik2,40.90, czujnik3,6.89
czujnik1,39.63, czujnik2,39.68, czujnik3,7.19
czujnik1,39.56, czujnik2,39.68, czujnik3,6.46
czujnik1,39.56, czujnik2,39.17, czujnik3,6.87
czujnik1,39.68, czujnik2,40.03, czujnik3,6.77
