ujnik1,18.16, czujnik2,15.95, czujnik3,16.14
czujnik1,38.03, czujnik2,17.19, czujnik3,38.79
czujnik1,18.16, czujnik2,15.95, czujnik3,16.14
czujnik1,38.03, czujnik2,17.19, czujnik3,38.79
czujnik1,18.16, czujnik2,16.79, czujnik3,18.25
czujnik1,18.16, czujnik2,16.77, czujnik3,18.64
czujnik1,18.57, czujnik2,16.79, czujnik3,38.37
czujnik1,18.03, czujnik2,16.46, czujnik3,38.67
czujnik1,17.76, czujnik2,17.18, czujnik3,21.97
czujnik1,18.16, czujnik2,16.77, czujnik3,38.40
czujnik1,17.70, czujnik2,17.19, czujnik3,38.81
czujnik1,19.03, czujnik2,17.19, czujnik3,17.36
czujnik1,17.76, czujnik2,16.73, czujnik3,17.35
czujnik1,18.57, czujnik2,16.73, czujnik3,18.18
czujnik1,18.11, czujnik2,17.19, czujnik3,38.37
czujnik1,18.16, czujnik2,17.60, czujnik3,38.30
czujnik1,18.11, czujnik2,16.77, czujnik3,17.77
czujnik1,18.15, czujnik2,16.77, czujnik3,16.19
czujnik1,18.16, czujnik2,16.79, czujnik3,16.99
czujnik1,18.55, czujnik2,16.73, czujnik3,38.27
czujnik1,18.16, czujnik2,17.60, czujnik3,23.16
czujnik1,18.55, czujnik2,16.79, czujnik3,18.59
czujnik1,18.98, czujnik2,16.36, czujnik3,18.16
czujnik1,18.57, czujnik2,17.18, czujnik3,16.50
czujnik1,18.16, czujnik2,16.79, czujnik3,16.50
czujnik1,18.55, czujnik2,17.18, czujnik3,16.43
czujnik1,18.57, czujnik2,16.79, czujnik3,16.90
czujnik1,18.98, czujnik2,17.18, czujnik3,16.02
czujnik1,25.20, czujnik2,18.01, czujnik3,15.68
czujnik1,19.74, czujnik2,17.18, czujnik3,15.71
czujnik1,23.55, czujnik2,16.77, czujnik3,15.66
czujnik1,20.66, czujnik2,16.77, czujnik3,15.73
czujnik1,19.85, czujnik2,17.18, czujnik3,15.66
czujnik1,19.74, czujnik2,16.77, czujnik3,15.71
czujnik1,20.26, czujnik2,16.36, czujnik3,15.66
czujnik1,23.98, czujnik2,17.18, czujnik3,15.66
czujnik1,39.01, czujnik2,18.01, czujnik3,16.07
czujnik1,18.98, czujnik2,18.03, czujnik3,16.07
czujnik1,19.42, czujnik2,16.77, czujnik3,16.04
czujnik1,18.57, czujnik2,16.79, czujnik3,16.48
czujnik1,18.57, czujnik2,17.60, czujnik3,16.50
czujnik1,18.55, czujnik2,17.18, czujnik3,16.02
czujnik1,19.44, czujnik2,17.19, czujnik3,16.43
czujnik1,18.55, czujnik2,16.77, czujnik3,16.02
czujnik1,18.57, czujnik2,16.77, czujnik3,16.07
czujnik1,19.44, czujnik2,17.19, czujnik3,15.61
czujnik1,18.57, czujnik2,17.60, czujnik3,15.63
czujnik1,19.85, czujnik2,17.59, czujnik3,16.07
