3czujnik1,0.00, czujnik2,39.69, czujnik3,3.23
czujnik1,39.61, czujnik2,39.56, czujnik3,3.74
czujnik1,39.63, czujnik2,10.48, czujnik3,4.17
czujnik1,39.22, czujnik2,40.58, czujnik3,4.17
czujnik1,39.10, czujnik2,40.12, czujnik3,4.17
czujnik1,39.63, czujnik2,10.78, czujnik3,3.59
czujnik1,39.22, czujnik2,39.68, czujnik3,3.20
czujnik1,39.98, czujnik2,41.00, czujnik3,3.20
czujnik1,39.63, czujnik2,39.52, czujnik3,4.06
czujnik1,39.64, czujnik2,39.68, czujnik3,2.77
czujnik1,39.64, czujnik2,39.64, czujnik3,4.06
czujnik1,39.08, czujnik2,39.69, czujnik3,2.74
czujnik1,39.20, czujnik2,39.54, czujnik3,2.77
czujnik1,39.61, czujnik2,40.19, czujnik3,3.66
czujnik1,40.07, czujnik2,40.14, czujnik3,2.72
czujnik1,39.54, czujnik2,39.13, czujnik3,3.66
czujnik1,39.59, czujnik2,39.57, czujnik3,4.00
czujnik1,39.23, czujnik2,39.69, czujnik3,3.20
czujnik1,39.54, czujnik2,39.68, czujnik3,3.20
czujnik1,39.97, czujnik2,40.03, czujnik3,4.12
czujnik1,39.63, czujnik2,39.23, czujnik3,3.55
czujnik1,39.22, czujnik2,39.68, czujnik3,3.64
czujnik1,39.10, czujnik2,39.66, czujnik3,2.77
czujnik1,39.63, czujnik2,40.03, czujnik3,3.66
czujnik1,39.22, czujnik2,39.68, czujnik3,2.67
czujnik1,39.23, czujnik2,41.00, czujnik3,2.77
czujnik1,39.49, czujnik2,39.20, czujnik3,3.25
czujnik1,39.20, czujnik2,39.59, czujnik3,4.06
czujnik1,39.66, czujnik2,41.45, czujnik3,3.57
czujnik1,39.59, czujnik2,40.14, czujnik3,2.72
czujnik1,39.51, czujnik2,40.65, czujnik3,2.77
czujnik1,39.20, czujnik2,40.03, czujnik3,2.67
czujnik1,39.63, czujnik2,39.22, czujnik3,4.10
czujnik1,39.10, czujnik2,40.14, czujnik3,3.23
czujnik1,39.57, czujnik2,40.03, czujnik3,3.71
czujnik1,39.63, czujnik2,39.66, czujnik3,3.13
czujnik1,39.63, czujnik2,40.10, czujnik3,3.66
czujnik1,39.10, czujnik2,39.22, czujnik3,3.64
czujnik1,39.18, czujnik2,39.56, czujnik3,3.28
czujnik1,39.20, czujnik2,40.56, czujnik3,3.08
czujnik1,39.61, czujnik2,39.68, czujnik3,4.06
czujnik1,39.90, czujnik2,40.19, czujnik3,3.23
czujnik1,39.18, czujnik2,40.51, czujnik3,3.23
czujnik1,39.63, czujnik2,39.66, czujnik3,3.96
czujnik1,39.22, czujnik2,39.64, czujnik3,3.71
czujnik1,39.12, czujnik2,39.22, czujnik3,4.17
czujnik1,39.20, czujnik2,39.57, czujnik3,3.64
czujnik1,39.64, czujnik2,39.68, czujnik3,3.25
czujnik1,39.97, czujnik2,40.14, czujnik3,3.25
czujnik1,39.54, czujnik2,39.57, czujnik3,3.25
czujnik1,39.20, czujnik2,39.61, czujnik3,3.59
czujnik1,39.59, czujnik2,39.23, czujnik3,3.66
czujnik1,39.54, czujnik2,39.71, czujnik3,3.71
czujnik1,39.61, czujnik2,40.02, czujnik3,3.66
czujnik1,39.22, czujnik2,40.58, czujnik3,3.61
czujnik1,39.20, czujnik2,39.66, czujnik3,4.12
czujnik1,39.47, czujnik2,40.14, czujnik3,4.12
czujnik1,39.59, czujnik2,39.54, czujnik3,3.71
czujnik1,39.63, czujnik2,39.23, czujnik3,3.13
czujnik1,40.02, czujnik2,39.23, czujnik3,3.66
czujnik1,39.12, czujnik2,39.68, czujnik3,3.66
czujnik1,39.20, czujnik2,39.57, czujnik3,3.25
czujnik1,40.09, czujnik2,39.69, czujnik3,3.71
czujnik1,39.51, czujnik2,39.68, czujnik3,4.12
czujnik1,39.51, czujnik2,40.51, czujnik3,3.66
czujnik1,39.20, czujnik2,39.56, czujnik3,3.61
czujnik1,39.18, czujnik2,39.66, czujnik3,4.12
czujnik1,39.97, czujnik2,40.54, czujnik3,4.52
czujnik1,39.61, czujnik2,39.13, czujnik3,3.69
czujnik1,39.22, czujnik2,39.64, czujnik3,3.55
czujnik1,39.64, czujnik2,39.68, czujnik3,3.71
czujnik1,39.52, czujnik2,39.69, czujnik3,3.76
czujnik1,39.63, czujnik2,40.02, czujnik3,3.71
czujnik1,39.17, czujnik2,39.68, czujnik3,3.66
czujnik1,39.63, czujnik2,39.68, czujnik3,4.17
czujnik1,39.51, czujnik2,39.23, czujnik3,4.17
czujnik1,39.22, czujnik2,39.13, czujnik3,3.71
czujnik1,39.18, czujnik2,39.68, czujnik3,3.76
czujnik1,39.59, czujnik2,40.17, czujnik3,4.17
czujnik1,39.51, czujnik2,39.12, czujnik3,4.12
czujnik1,39.66, czujnik2,39.12, czujnik3,4.06
czujnik1,39.64, czujnik2,39.20, czujnik3,4.10
czujnik1,39.91, czujnik2,39.22, czujnik3,3.76
czujnik1,39.97, czujnik2,39.57, czujnik3,3.71
czujnik1,39.98, czujnik2,40.19, czujnik3,3.59
czujnik1,39.20, czujnik2,40.10, czujnik3,3.71
czujnik1,39.10, czujnik2,40.09, czujnik3,4.12
czujnik1,40.03, czujnik2,40.53, czujnik3,4.17
czujnik1,39.20, czujnik2,39.22, czujnik3,4.06
czujnik1,39.18, czujnik2,39.23, czujnik3,4.17
czujnik1,39.52, czujnik2,39.22, czujnik3,3.71
czujnik1,39.61, czujnik2,39.13, czujnik3,4.12
czujnik1,39.20, czujnik2,40.60, czujnik3,3.69
czujnik1,39.63, czujnik2,40.17, czujnik3,3.76
czujnik1,39.95, czujnik2,39.22, czujnik3,3.76
czujnik1,39.66, czujnik2,40.54, czujnik3,3.66
czujnik1,40.02, czujnik2,39.64, czujnik3,4.15
czujnik1,39.12, czujnik2,40.14, czujnik3,3.71
czujnik1,39.57, czujnik2,40.00, czujnik3,3.81
czujnik1,39.20, czujnik2,39.69, czujnik3,3.61
