1czujnik1,16.62, czujnik2,17.14, czujnik3,19.00
czujnik1,16.21, czujnik2,17.18, czujnik3,19.47
czujnik1,16.34, czujnik2,16.73, czujnik3,19.05
czujnik1,16.22, czujnik2,16.79, czujnik3,19.05
czujnik1,16.63, czujnik2,17.55, czujnik3,19.05
czujnik1,15.75, czujnik2,17.60, czujnik3,20.29
czujnik1,15.71, czujnik2,17.55, czujnik3,18.15
czujnik1,16.16, czujnik2,18.01, czujnik3,19.01
czujnik1,17.02, czujnik2,16.79, czujnik3,18.59
czujnik1,16.62, czujnik2,17.19, czujnik3,19.47
czujnik1,16.68, czujnik2,16.79, czujnik3,17.77
czujnik1,17.09, czujnik2,16.79, czujnik3,18.64
czujnik1,17.07, czujnik2,16.79, czujnik3,17.36
czujnik1,16.67, czujnik2,17.19, czujnik3,19.52
czujnik1,16.67, czujnik2,16.79, czujnik3,18.25
czujnik1,17.07, czujnik2,17.19, czujnik3,19.46
czujnik1,16.99, czujnik2,17.13, czujnik3,18.95
czujnik1,16.51, czujnik2,17.55, czujnik3,18.55
czujnik1,17.40, czujnik2,16.68, czujnik3,19.01
czujnik1,17.45, czujnik2,17.60, czujnik3,17.77
czujnik1,16.63, czujnik2,18.47, czujnik3,17.84
czujnik1,16.22, czujnik2,16.77, czujnik3,17.41
czujnik1,16.17, czujnik2,17.18, czujnik3,18.23
czujnik1,16.58, czujnik2,19.29, czujnik3,18.18
czujnik1,16.55, czujnik2,18.01, czujnik3,18.23
czujnik1,16.17, czujnik2,16.72, czujnik3,17.41
czujnik1,16.17, czujnik2,17.18, czujnik3,17.01
czujnik1,16.16, czujnik2,16.77, czujnik3,16.55
czujnik1,16.62, czujnik2,17.18, czujnik3,17.41
czujnik1,16.17, czujnik2,17.19, czujnik3,17.82
czujnik1,16.16, czujnik2,17.60, czujnik3,17.84
czujnik1,16.17, czujnik2,17.13, czujnik3,18.69
czujnik1,16.62, czujnik2,16.77, czujnik3,17.84
czujnik1,16.63, czujnik2,16.77, czujnik3,19.06
czujnik1,16.16, czujnik2,17.59, czujnik3,18.61
czujnik1,16.53, czujnik2,17.48, czujnik3,18.55
czujnik1,16.51, czujnik2,18.35, czujnik3,18.55
czujnik1,15.71, czujnik2,18.01, czujnik3,19.05
czujnik1,16.58, czujnik2,17.60, czujnik3,19.47
czujnik1,16.17, czujnik2,17.99, czujnik3,18.59
