nik1,40.36, czujnik2,39.83, czujnik3,24.42
czujnik1,44.10, czujnik2,38.66, czujnik3,22.98
czujnik1,42.62, czujnik2,24.71, czujnik3,22.21
czujnik1,39.05, czujnik2,39.12, czujnik3,21.51
czujnik1,39.20, czujnik2,46.85, czujnik3,20.58
czujnik1,42.35, czujnik2,39.10, czujnik3,19.63
czujnik1,39.63, czujnik2,39.06, czujnik3,20.63
czujnik1,39.44, czujnik2,39.10, czujnik3,19.80
czujnik1,39.59, czujnik2,39.91, czujnik3,20.27
czujnik1,39.95, czujnik2,44.69, czujnik3,19.46
czujnik1,44.06, czujnik2,39.56, czujnik3,19.03
czujnik1,39.10, czujnik2,39.12, czujnik3,19.05
czujnik1,45.61, czujnik2,39.00, czujnik3,18.64
czujnik1,39.61, czujnik2,43.40, czujnik3,18.64
czujnik1,40.03, czujnik2,39.98, czujnik3,18.64
czujnik1,39.46, czujnik2,49.35, czujnik3,19.10
czujnik1,39.95, czujnik2,39.37, czujnik3,18.67
czujnik1,38.76, czujnik2,39.12, czujnik3,18.69
czujnik1,40.43, czujnik2,40.85, czujnik3,18.69
czujnik1,39.08, czujnik2,39.52, czujnik3,18.67
czujnik1,39.18, czujnik2,38.55, czujnik3,18.67
czujnik1,39.63, czujnik2,40.77, czujnik3,18.64
czujnik1,39.22, czujnik2,39.93, czujnik3,18.64
czujnik1,39.06, czujnik2,24.00, czujnik3,18.69
czujnik1,39.18, czujnik2,39.46, czujnik3,19.10
czujnik1,40.87, czujnik2,39.95, czujnik3,19.10
czujnik1,39.59, czujnik2,20.51, czujnik3,18.64
czujnik1,38.66, czujnik2,41.21, czujnik3,18.69
czujnik1,38.76, czujnik2,20.00, czujnik3,18.67
czujnik1,38.76, czujnik2,19.69, czujnik3,18.69
czujnik1,39.54, czujnik2,20.10, czujnik3,19.08
czujnik1,39.95, czujnik2,19.64, czujnik3,19.05
czujnik1,40.48, czujnik2,20.82, czujnik3,19.05
czujnik1,39.61, czujnik2,20.51, czujnik3,19.03
czujnik1,38.72, czujnik2,20.10, czujnik3,18.64
czujnik1,38.66, czujnik2,20.92, czujnik3,18.64
czujnik1,39.20, czujnik2,22.53, czujnik3,19.08
czujnik1,38.76, czujnik2,19.64, czujnik3,18.62
czujnik1,38.78, czujnik2,22.24, czujnik3,19.03
czujnik1,39.08, czujnik2,21.80, czujnik3,18.64
czujnik1,40.92, czujnik2,20.41, czujnik3,18.98
czujnik1,39.17, czujnik2,20.44, czujnik3,19.03
czujnik1,39.17, czujnik2,20.51, czujnik3,19.00
czujnik1,40.36, czujnik2,39.08, czujnik3,19.05
czujnik1,39.61, czujnik2,22.09, czujnik3,19.40
czujnik1,45.26, czujnik2,20.92, czujnik3,19.05
czujnik1,44.81, czujnik2,22.19, czujnik3,19.03
czujnik1,39.01, czujnik2,21.33, czujnik3,19.05
czujnik1,39.56, czujnik2,22.96, czujnik3,19.03
czujnik1,40.03, czujnik2,22.65, czujnik3,18.64
czujnik1,40.00, czujnik2,21.84, czujnik3,18.62
czujnik1,38.69, czujnik2,21.84, czujnik3,18.64
czujnik1,39.17, czujnik2,21.73, czujnik3,19.10
czujnik1,39.22, czujnik2,40.36, czujnik3,18.64
czujnik1,40.75, czujnik2,20.92, czujnik3,18.59
czujnik1,41.21, czujnik2,20.46, czujnik3,19.03
czujnik1,39.59, czujnik2,38.55, czujnik3,18.95
czujnik1,40.88, czujnik2,22.48, czujnik3,20.12
czujnik1,25.19, czujnik2,39.49, czujnik3,21.04
czujnik1,22.99, czujnik2,21.22, czujnik3,21.04
