8czujnik1,38.64, czujnik2,38.67, czujnik3,37.84
czujnik1,39.40, czujnik2,38.67, czujnik3,37.84
czujnik1,39.08, czujnik2,38.10, czujnik3,37.77
czujnik1,40.41, czujnik2,38.23, czujnik3,37.82
czujnik1,38.96, czujnik2,40.05, czujnik3,37.79
czujnik1,40.75, czujnik2,38.21, czujnik3,37.70
czujnik1,39.47, czujnik2,38.21, czujnik3,37.84
czujnik1,39.12, czujnik2,39.03, czujnik3,38.20
czujnik1,38.69, czujnik2,39.57, czujnik3,37.72
czujnik1,28.04, czujnik2,39.10, czujnik3,38.21
czujnik1,26.68, czujnik2,38.66, czujnik3,38.20
czujnik1,28.78, czujnik2,39.01, czujnik3,37.82
czujnik1,31.96, czujnik2,39.57, czujnik3,37.72
czujnik1,30.48, czujnik2,38.23, czujnik3,37.84
czujnik1,39.91, czujnik2,38.21, czujnik3,37.82
czujnik1,39.51, czujnik2,38.55, czujnik3,38.23
czujnik1,39.56, czujnik2,39.06, czujnik3,38.15
czujnik1,40.39, czujnik2,40.03, czujnik3,37.82
czujnik1,43.11, czujnik2,38.64, czujnik3,37.79
czujnik1,39.52, czujnik2,38.55, czujnik3,37.82
czujnik1,39.05, czujnik2,38.66, czujnik3,37.31
czujnik1,39.49, czujnik2,38.64, czujnik3,37.86
czujnik1,38.61, czujnik2,40.85, czujnik3,37.84
czujnik1,39.08, czujnik2,38.96, czujnik3,38.25
czujnik1,39.52, czujnik2,39.12, czujnik3,38.15
czujnik1,39.97, czujnik2,39.08, czujnik3,37.84
czujnik1,39.88, czujnik2,39.08, czujnik3,37.84
czujnik1,39.17, czujnik2,38.98, czujnik3,37.82
czujnik1,39.15, czujnik2,38.66, czujnik3,37.69
czujnik1,39.08, czujnik2,38.62, czujnik3,37.81
czujnik1,39.47, czujnik2,39.57, czujnik3,37.84
czujnik1,39.57, czujnik2,39.39, czujnik3,37.84
czujnik1,39.52, czujnik2,39.93, czujnik3,38.15
czujnik1,39.56, czujnik2,38.66, czujnik3,38.27
czujnik1,39.44, czujnik2,39.08, czujnik3,37.79
czujnik1,39.57, czujnik2,38.55, czujnik3,37.79
czujnik1,39.59, czujnik2,39.06, czujnik3,37.72
czujnik1,39.51, czujnik2,39.13, czujnik3,37.81
czujnik1,39.51, czujnik2,39.52, czujnik3,37.81
czujnik1,40.83, czujnik2,39.42, czujnik3,38.23
czujnik1,39.98, czujnik2,39.08, czujnik3,37.69
czujnik1,41.72, czujnik2,39.08, czujnik3,37.84
czujnik1,39.88, czujnik2,39.12, czujnik3,37.79
czujnik1,41.60, czujnik2,38.55, czujnik3,37.84
czujnik1,40.80, czujnik2,39.01, czujnik3,37.69
czujnik1,39.10, czujnik2,38.66, czujnik3,37.84
czujnik1,40.70, czujnik2,38.66, czujnik3,38.25
czujnik1,39.08, czujnik2,39.03, czujnik3,38.25
czujnik1,39.13, czujnik2,38.66, czujnik3,38.08
czujnik1,39.13, czujnik2,38.69, czujnik3,37.81
czujnik1,44.78, czujnik2,39.61, czujnik3,38.20
czujnik1,41.19, czujnik2,39.01, czujnik3,37.79
czujnik1,40.37, czujnik2,39.12, czujnik3,37.72
czujnik1,39.98, czujnik2,39.12, czujnik3,37.82
czujnik1,39.06, czujnik2,38.23, czujnik3,37.82
czujnik1,39.13, czujnik2,39.01, czujnik3,37.79
czujnik1,39.17, czujnik2,38.66, czujnik3,38.13
czujnik1,39.15, czujnik2,38.69, czujnik3,37.82
czujnik1,48.96, czujnik2,38.23, czujnik3,38.25
czujnik1,39.52, czujnik2,39.00, czujnik3,37.84
czujnik1,40.78, czujnik2,38.25, czujnik3,37.74
czujnik1,39.52, czujnik2,39.98, czujnik3,38.20
czujnik1,39.05, czujnik2,38.69, czujnik3,38.25
czujnik1,39.91, czujnik2,39.00, czujnik3,37.84
czujnik1,39.98, czujnik2,38.66, czujnik3,38.10
czujnik1,39.15, czujnik2,38.66, czujnik3,38.25
czujnik1,39.51, czujnik2,38.20, czujnik3,38.21
czujnik1,39.17, czujnik2,39.42, czujnik3,38.25
czujnik1,39.97, czujnik2,39.54, czujnik3,38.15
czujnik1,39.10, czujnik2,38.61, czujnik3,38.23
czujnik1,39.47, czujnik2,39.51, czujnik3,37.84
czujnik1,47.72, czujnik2,39.42, czujnik3,38.28
czujnik1,39.15, czujnik2,39.49, czujnik3,38.13
czujnik1,40.43, czujnik2,38.66, czujnik3,37.82
czujnik1,39.86, czujnik2,38.62, czujnik3,38.25
czujnik1,39.12, czujnik2,38.98, czujnik3,38.25
czujnik1,39.57, czujnik2,39.54, czujnik3,38.15
czujnik1,39.15, czujnik2,38.64, czujnik3,37.84
czujnik1,39.05, czujnik2,39.06, czujnik3,37.81
czujnik1,39.13, czujnik2,40.24, czujnik3,38.23
czujnik1,39.10, czujnik2,40.39, czujnik3,37.72
czujnik1,38.71, czujnik2,39.06, czujnik3,37.86
czujnik1,39.42, czujnik2,40.36, czujnik3,37.84
czujnik1,39.13, czujnik2,38.10, czujnik3,37.82
czujnik1,39.13, czujnik2,39.06, czujnik3,38.11
czujnik1,39.12, czujnik2,39.06, czujnik3,37.79
czujnik1,39.03, czujnik2,38.66, czujnik3,37.79
czujnik1,39.52, czujnik2,39.01, czujnik3,37.82
czujnik1,39.98, czujnik2,39.91, czujnik3,37.72
czujnik1,39.57, czujnik2,39.91, czujnik3,37.86
czujnik1,39.01, czujnik2,38.66, czujnik3,37.86
czujnik1,39.15, czujnik2,39.88, czujnik3,37.82
czujnik1,39.12, czujnik2,39.98, czujnik3,37.70
czujnik1,39.12, czujnik2,38.66, czujnik3,37.82
czujnik1,39.49, czujnik2,39.52, czujnik3,37.82
czujnik1,39.57, czujnik2,38.95, czujnik3,37.79
czujnik1,39.98, czujnik2,40.39, czujnik3,37.72
czujnik1,40.29, czujnik2,39.08, czujnik3,37.82
czujnik1,39.01, czujnik2,39.13, czujnik3,37.84
czujnik1,39.18, czujnik2,39.39, czujnik3,37.84
