ujnik1,38.84, czujnik2,40.00, czujnik3,10.05
czujnik1,39.15, czujnik2,18.11, czujnik3,8.83
czujnik1,38.84, czujnik2,40.00, czujnik3,10.05
czujnik1,39.23, czujnik2,12.84, czujnik3,11.16
czujnik1,39.57, czujnik2,10.70, czujnik3,9.76
czujnik1,39.54, czujnik2,39.91, czujnik3,8.50
czujnik1,39.10, czujnik2,12.43, czujnik3,8.95
czujnik1,39.64, czujnik2,11.31, czujnik3,9.18
czujnik1,39.18, czujnik2,14.63, czujnik3,13.81
czujnik1,39.71, czujnik2,10.78, czujnik3,10.02
czujnik1,39.23, czujnik2,10.73, czujnik3,10.87
czujnik1,39.69, czujnik2,10.85, czujnik3,15.36
czujnik1,39.15, czujnik2,14.95, czujnik3,10.88
czujnik1,39.69, czujnik2,10.37, czujnik3,7.64
czujnik1,39.69, czujnik2,10.78, czujnik3,10.48
czujnik1,39.27, czujnik2,10.49, czujnik3,10.07
czujnik1,39.15, czujnik2,14.59, czujnik3,9.18
czujnik1,39.69, czujnik2,13.71, czujnik3,11.34
czujnik1,39.27, czujnik2,11.21, czujnik3,13.79
czujnik1,39.17, czujnik2,15.26, czujnik3,14.27
czujnik1,39.93, czujnik2,10.80, czujnik3,7.65
czujnik1,39.29, czujnik2,12.01, czujnik3,14.54
czujnik1,39.25, czujnik2,11.60, czujnik3,7.96
czujnik1,39.17, czujnik2,11.29, czujnik3,8.78
czujnik1,39.59, czujnik2,13.28, czujnik3,7.65
czujnik1,39.25, czujnik2,9.91, czujnik3,14.27
czujnik1,39.64, czujnik2,10.78, czujnik3,9.64
czujnik1,39.52, czujnik2,14.59, czujnik3,10.36
czujnik1,39.27, czujnik2,9.91, czujnik3,7.65
czujnik1,39.29, czujnik2,16.53, czujnik3,8.37
czujnik1,39.69, czujnik2,10.49, czujnik3,9.95
czujnik1,39.56, czujnik2,10.90, czujnik3,8.06
czujnik1,39.63, czujnik2,10.78, czujnik3,12.21
czujnik1,39.29, czujnik2,10.80, czujnik3,7.96
czujnik1,39.63, czujnik2,11.29, czujnik3,12.13
czujnik1,39.61, czujnik2,10.90, czujnik3,9.35
czujnik1,39.23, czujnik2,10.37, czujnik3,11.80
czujnik1,39.68, czujnik2,14.85, czujnik3,9.23
czujnik1,39.27, czujnik2,11.31, czujnik3,10.48
czujnik1,39.57, czujnik2,10.88, czujnik3,7.23
czujnik1,39.69, czujnik2,11.19, czujnik3,11.80
czujnik1,39.63, czujnik2,10.34, czujnik3,7.55
czujnik1,39.20, czujnik2,11.72, czujnik3,11.70
czujnik1,39.52, czujnik2,11.22, czujnik3,8.06
czujnik1,39.25, czujnik2,13.30, czujnik3,10.36
czujnik1,39.66, czujnik2,9.91, czujnik3,10.07
czujnik1,39.57, czujnik2,9.61, czujnik3,9.34
czujnik1,39.64, czujnik2,11.19, czujnik3,11.39
czujnik1,39.69, czujnik2,9.93, czujnik3,7.96
czujnik1,39.64, czujnik2,15.26, czujnik3,10.07
czujnik1,39.59, czujnik2,15.66, czujnik3,11.24
czujnik1,39.64, czujnik2,11.62, czujnik3,10.99
czujnik1,39.27, czujnik2,10.32, czujnik3,10.36
czujnik1,39.69, czujnik2,12.02, czujnik3,10.48
czujnik1,39.17, czujnik2,12.53, czujnik3,8.88
czujnik1,39.69, czujnik2,10.34, czujnik3,8.06
czujnik1,39.71, czujnik2,12.02, czujnik3,7.96
czujnik1,39.69, czujnik2,13.30, czujnik3,9.64
czujnik1,39.52, czujnik2,11.29, czujnik3,8.78
czujnik1,39.25, czujnik2,11.21, czujnik3,9.18
czujnik1,39.64, czujnik2,10.34, czujnik3,8.83
czujnik1,39.63, czujnik2,13.32, czujnik3,9.13
