ujnik1,39.15, czujnik2,39.76, czujnik3,11.34
czujnik1,39.15, czujnik2,39.76, czujnik3,11.34
czujnik1,39.71, czujnik2,39.95, czujnik3,38.83
czujnik1,39.15, czujnik2,39.61, czujnik3,38.83
czujnik1,39.59, czujnik2,39.03, czujnik3,39.22
czujnik1,39.57, czujnik2,39.73, czujnik3,38.95
czujnik1,39.64, czujnik2,39.13, czujnik3,38.98
czujnik1,39.52, czujnik2,40.22, czujnik3,38.93
czujnik1,39.64, czujnik2,39.61, czujnik3,38.95
czujnik1,39.69, czujnik2,40.24, czujnik3,11.75
czujnik1,39.63, czujnik2,40.20, czujnik3,10.46
czujnik1,39.17, czujnik2,39.29, czujnik3,11.02
czujnik1,40.09, czujnik2,40.58, czujnik3,13.15
czujnik1,39.71, czujnik2,39.76, czujnik3,11.34
czujnik1,40.09, czujnik2,39.73, czujnik3,39.73
czujnik1,39.93, czujnik2,39.73, czujnik3,13.44
czujnik1,40.10, czujnik2,39.18, czujnik3,11.85
czujnik1,40.10, czujnik2,40.22, czujnik3,39.23
czujnik1,39.69, czujnik2,39.71, czujnik3,11.75
czujnik1,39.12, czujnik2,39.76, czujnik3,38.89
czujnik1,39.64, czujnik2,39.17, czujnik3,38.88
czujnik1,40.10, czujnik2,39.71, czujnik3,38.79
czujnik1,39.23, czujnik2,39.30, czujnik3,38.91
czujnik1,39.13, czujnik2,39.73, czujnik3,39.32
czujnik1,39.64, czujnik2,39.63, czujnik3,39.39
czujnik1,40.10, czujnik2,39.32, czujnik3,39.23
czujnik1,39.25, czujnik2,39.74, czujnik3,38.96
czujnik1,39.54, czujnik2,39.74, czujnik3,14.27
czujnik1,39.69, czujnik2,40.14, czujnik3,39.35
czujnik1,39.29, czujnik2,39.76, czujnik3,12.57
czujnik1,39.69, czujnik2,40.22, czujnik3,12.98
czujnik1,39.54, czujnik2,40.20, czujnik3,11.75
czujnik1,40.10, czujnik2,39.63, czujnik3,38.86
czujnik1,39.69, czujnik2,40.20, czujnik3,11.73
czujnik1,39.69, czujnik2,39.27, czujnik3,10.88
czujnik1,40.39, czujnik2,39.25, czujnik3,39.32
czujnik1,39.64, czujnik2,39.57, czujnik3,38.86
czujnik1,39.23, czujnik2,39.27, czujnik3,12.62
czujnik1,40.03, czujnik2,39.76, czujnik3,12.21
czujnik1,39.57, czujnik2,40.17, czujnik3,11.34
czujnik1,39.64, czujnik2,39.68, czujnik3,11.04
czujnik1,39.23, czujnik2,39.27, czujnik3,11.75
czujnik1,39.68, czujnik2,40.22, czujnik3,11.34
czujnik1,39.52, czujnik2,40.17, czujnik3,11.34
czujnik1,40.49, czujnik2,39.17, czujnik3,11.45
czujnik1,39.68, czujnik2,39.29, czujnik3,11.34
czujnik1,39.27, czujnik2,40.65, czujnik3,11.34
czujnik1,39.15, czujnik2,39.27, czujnik3,11.34
czujnik1,39.68, czujnik2,39.59, czujnik3,12.26
czujnik1,40.09, czujnik2,39.71, czujnik3,10.94
czujnik1,40.07, czujnik2,40.19, czujnik3,11.34
czujnik1,40.02, czujnik2,39.71, czujnik3,11.33
czujnik1,39.68, czujnik2,39.63, czujnik3,11.04
czujnik1,40.07, czujnik2,40.24, czujnik3,10.92
czujnik1,39.68, czujnik2,39.74, czujnik3,10.94
czujnik1,40.05, czujnik2,39.74, czujnik3,39.32
czujnik1,39.27, czujnik2,39.61, czujnik3,11.45
czujnik1,39.69, czujnik2,39.30, czujnik3,10.94
czujnik1,40.09, czujnik2,39.27, czujnik3,10.94
czujnik1,39.98, czujnik2,40.22, czujnik3,11.02
czujnik1,40.14, czujnik2,39.66, czujnik3,11.85
czujnik1,39.27, czujnik2,39.74, czujnik3,11.33
czujnik1,40.54, czujnik2,39.73, czujnik3,10.94
czujnik1,39.97, czujnik2,39.27, czujnik3,11.33
czujnik1,40.14, czujnik2,39.17, czujnik3,11.04
czujnik1,39.68, czujnik2,39.73, czujnik3,11.34
czujnik1,40.09, czujnik2,40.63, czujnik3,10.94
czujnik1,39.57, czujnik2,39.74, czujnik3,11.34
czujnik1,39.71, czujnik2,39.63, czujnik3,11.45
czujnik1,40.14, czujnik2,39.27, czujnik3,11.34
czujnik1,39.27, czujnik2,39.76, czujnik3,13.04
czujnik1,39.57, czujnik2,39.73, czujnik3,11.75
czujnik1,39.25, czujnik2,40.09, czujnik3,39.34
czujnik1,40.14, czujnik2,39.73, czujnik3,11.75
czujnik1,40.10, czujnik2,39.74, czujnik3,39.34
czujnik1,39.17, czujnik2,39.73, czujnik3,11.34
czujnik1,39.29, czujnik2,39.63, czujnik3,39.32
czujnik1,39.68, czujnik2,39.25, czujnik3,11.34
czujnik1,40.10, czujnik2,40.19, czujnik3,11.34
czujnik1,39.56, czujnik2,40.19, czujnik3,39.29
czujnik1,39.23, czujnik2,40.54, czujnik3,11.02
czujnik1,39.68, czujnik2,39.78, czujnik3,11.34
czujnik1,39.68, czujnik2,39.74, czujnik3,11.34
czujnik1,39.57, czujnik2,40.22, czujnik3,11.34
czujnik1,39.27, czujnik2,39.63, czujnik3,11.45
czujnik1,39.25, czujnik2,39.30, czujnik3,12.19
czujnik1,39.27, czujnik2,39.32, czujnik3,10.94
czujnik1,39.52, czujnik2,39.76, czujnik3,10.61
czujnik1,39.69, czujnik2,39.63, czujnik3,10.63
czujnik1,39.73, czujnik2,39.27, czujnik3,10.53
czujnik1,39.64, czujnik2,39.73, czujnik3,9.66
czujnik1,39.59, czujnik2,39.73, czujnik3,10.61
czujnik1,39.25, czujnik2,39.64, czujnik3,9.74
czujnik1,39.66, czujnik2,40.20, czujnik3,10.53
czujnik1,39.25, czujnik2,39.27, czujnik3,10.10
czujnik1,39.17, czujnik2,39.25, czujnik3,10.22
czujnik1,39.25, czujnik2,39.63, czujnik3,9.74
czujnik1,39.69, czujnik2,39.27, czujnik3,9.66
czujnik1,39.22, czujnik2,39.27, czujnik3,10.12
czujnik1,39.57, czujnik2,39.76, czujnik3,10.63
