czujnik1,38.16, czujnik2,38.72, czujnik3,13.10
czujnik1,38.15, czujnik2,39.06, czujnik3,14.01
czujnik1,38.16, czujnik2,38.72, czujnik3,13.10
czujnik1,38.20, czujnik2,38.15, czujnik3,12.45
czujnik1,38.20, czujnik2,38.61, czujnik3,12.84
czujnik1,38.47, czujnik2,39.35, czujnik3,13.32
czujnik1,37.79, czujnik2,38.27, czujnik3,12.91
czujnik1,38.16, czujnik2,38.72, czujnik3,12.59
czujnik1,38.04, czujnik2,38.27, czujnik3,13.04
czujnik1,38.21, czujnik2,39.95, czujnik3,13.15
czujnik1,38.20, czujnik2,39.22, czujnik3,13.03
czujnik1,38.20, czujnik2,38.25, czujnik3,12.59
czujnik1,38.06, czujnik2,38.76, czujnik3,12.57
czujnik1,37.76, czujnik2,38.18, czujnik3,12.67
czujnik1,38.21, czujnik2,38.72, czujnik3,12.99
czujnik1,38.16, czujnik2,37.84, czujnik3,12.98
czujnik1,37.70, czujnik2,37.84, czujnik3,12.99
czujnik1,38.16, czujnik2,38.16, czujnik3,13.10
czujnik1,37.81, czujnik2,37.82, czujnik3,12.99
czujnik1,38.16, czujnik2,37.86, czujnik3,12.98
czujnik1,38.10, czujnik2,38.30, czujnik3,12.99
czujnik1,38.21, czujnik2,38.61, czujnik3,13.10
czujnik1,37.77, czujnik2,37.40, czujnik3,12.99
czujnik1,38.18, czujnik2,38.72, czujnik3,12.98
czujnik1,38.11, czujnik2,37.86, czujnik3,13.40
czujnik1,37.77, czujnik2,38.15, czujnik3,13.10
czujnik1,38.15, czujnik2,38.27, czujnik3,13.40
czujnik1,38.21, czujnik2,38.72, czujnik3,13.40
czujnik1,37.65, czujnik2,25.58, czujnik3,12.99
czujnik1,38.21, czujnik2,38.18, czujnik3,13.50
czujnik1,38.59, czujnik2,38.25, czujnik3,12.98
czujnik1,38.18, czujnik2,38.71, czujnik3,13.81
czujnik1,38.11, czujnik2,38.25, czujnik3,13.40
czujnik1,38.18, czujnik2,38.61, czujnik3,13.50
czujnik1,38.18, czujnik2,38.27, czujnik3,12.99
czujnik1,38.16, czujnik2,38.71, czujnik3,13.35
czujnik1,38.11, czujnik2,37.84, czujnik3,13.76
czujnik1,38.18, czujnik2,38.61, czujnik3,14.97
czujnik1,38.16, czujnik2,38.27, czujnik3,15.27
czujnik1,38.16, czujnik2,37.86, czujnik3,16.56
czujnik1,38.06, czujnik2,39.17, czujnik3,16.96
czujnik1,38.59, czujnik2,38.11, czujnik3,15.73
czujnik1,38.23, czujnik2,38.27, czujnik3,14.90
czujnik1,38.21, czujnik2,38.78, czujnik3,14.51
czujnik1,38.10, czujnik2,38.25, czujnik3,14.18
czujnik1,38.16, czujnik2,39.01, czujnik3,13.86
czujnik1,38.18, czujnik2,38.74, czujnik3,14.49
czujnik1,38.20, czujnik2,38.76, czujnik3,14.49
czujnik1,37.67, czujnik2,38.30, czujnik3,14.49
czujnik1,38.16, czujnik2,38.62, czujnik3,13.86
czujnik1,37.79, czujnik2,37.84, czujnik3,13.76
czujnik1,37.77, czujnik2,38.35, czujnik3,14.90
czujnik1,38.08, czujnik2,37.87, czujnik3,14.86
czujnik1,38.18, czujnik2,37.76, czujnik3,15.73
czujnik1,38.18, czujnik2,39.17, czujnik3,14.51
czujnik1,38.62, czujnik2,37.87, czujnik3,14.49
czujnik1,38.08, czujnik2,37.84, czujnik3,14.91
czujnik1,38.18, czujnik2,38.61, czujnik3,13.86
czujnik1,37.79, czujnik2,38.76, czujnik3,14.18
czujnik1,38.18, czujnik2,38.30, czujnik3,14.90
czujnik1,38.13, czujnik2,38.74, czujnik3,13.76
czujnik1,37.77, czujnik2,38.62, czujnik3,14.61
czujnik1,38.18, czujnik2,38.28, czujnik3,13.76
czujnik1,37.79, czujnik2,38.27, czujnik3,13.76
czujnik1,38.06, czujnik2,39.17, czujnik3,14.47
czujnik1,38.18, czujnik2,38.62, czujnik3,13.84
czujnik1,38.16, czujnik2,38.30, czujnik3,14.17
czujnik1,38.21, czujnik2,38.25, czujnik3,14.17
czujnik1,38.08, czujnik2,38.30, czujnik3,14.90
czujnik1,38.18, czujnik2,37.76, czujnik3,14.25
czujnik1,38.21, czujnik2,38.72, czujnik3,14.15
czujnik1,38.18, czujnik2,38.28, czujnik3,14.90
czujnik1,37.67, czujnik2,38.74, czujnik3,14.17
czujnik1,37.77, czujnik2,38.20, czujnik3,14.25
czujnik1,38.18, czujnik2,38.30, czujnik3,14.17
czujnik1,38.62, czujnik2,38.25, czujnik3,14.17
