nik1,39.00, czujnik2,23.44, czujnik3,24.34
czujnik1,39.08, czujnik2,39.08, czujnik3,25.17
czujnik1,39.00, czujnik2,23.44, czujnik3,24.34
czujnik1,24.46, czujnik2,40.90, czujnik3,38.21
czujnik1,24.03, czujnik2,38.59, czujnik3,38.25
czujnik1,23.62, czujnik2,26.02, czujnik3,38.23
czujnik1,23.08, czujnik2,26.96, czujnik3,37.86
czujnik1,29.78, czujnik2,24.46, czujnik3,25.66
czujnik1,39.01, czujnik2,38.62, czujnik3,25.31
czujnik1,25.82, czujnik2,38.11, czujnik3,38.21
czujnik1,39.49, czujnik2,26.50, czujnik3,38.11
czujnik1,39.01, czujnik2,39.51, czujnik3,37.81
czujnik1,25.43, czujnik2,40.44, czujnik3,37.81
czujnik1,23.93, czujnik2,29.12, czujnik3,37.82
czujnik1,23.13, czujnik2,38.64, czujnik3,38.11
czujnik1,23.52, czujnik2,39.51, czujnik3,37.81
czujnik1,22.60, czujnik2,38.64, czujnik3,37.79
czujnik1,22.70, czujnik2,38.13, czujnik3,37.81
czujnik1,22.31, czujnik2,38.69, czujnik3,38.10
czujnik1,22.70, czujnik2,38.69, czujnik3,38.21
czujnik1,23.83, czujnik2,38.25, czujnik3,38.21
czujnik1,23.93, czujnik2,37.70, czujnik3,38.21
czujnik1,23.52, czujnik2,30.80, czujnik3,37.70
czujnik1,23.49, czujnik2,38.66, czujnik3,38.23
czujnik1,25.48, czujnik2,37.79, czujnik3,38.27
czujnik1,23.52, czujnik2,27.07, czujnik3,37.86
czujnik1,24.32, czujnik2,28.74, czujnik3,38.16
czujnik1,23.11, czujnik2,38.67, czujnik3,38.21
czujnik1,23.44, czujnik2,38.25, czujnik3,38.27
czujnik1,23.52, czujnik2,28.76, czujnik3,38.25
czujnik1,23.93, czujnik2,27.11, czujnik3,37.76
czujnik1,23.11, czujnik2,28.35, czujnik3,37.82
czujnik1,23.83, czujnik2,28.84, czujnik3,38.25
czujnik1,23.13, czujnik2,26.70, czujnik3,38.27
czujnik1,23.93, czujnik2,26.70, czujnik3,38.15
czujnik1,25.17, czujnik2,27.16, czujnik3,28.45
czujnik1,23.84, czujnik2,27.11, czujnik3,29.66
czujnik1,23.88, czujnik2,28.25, czujnik3,29.37
czujnik1,28.08, czujnik2,27.01, czujnik3,30.97
czujnik1,25.15, czujnik2,27.52, czujnik3,28.45
czujnik1,24.66, czujnik2,26.70, czujnik3,31.00
czujnik1,24.23, czujnik2,29.54, czujnik3,31.51
czujnik1,24.34, czujnik2,25.80, czujnik3,27.62
czujnik1,39.90, czujnik2,25.02, czujnik3,26.70
czujnik1,38.98, czujnik2,27.07, czujnik3,30.92
czujnik1,24.61, czujnik2,26.16, czujnik3,28.93
czujnik1,39.08, czujnik2,24.10, czujnik3,28.45
czujnik1,25.60, czujnik2,26.72, czujnik3,32.94
czujnik1,26.34, czujnik2,27.57, czujnik3,38.28
czujnik1,25.10, czujnik2,24.15, czujnik3,32.53
czujnik1,26.84, czujnik2,25.37, czujnik3,28.88
czujnik1,40.29, czujnik2,30.34, czujnik3,37.45
czujnik1,39.35, czujnik2,24.98, czujnik3,31.73
czujnik1,39.05, czujnik2,28.25, czujnik3,27.67
czujnik1,39.06, czujnik2,24.93, czujnik3,26.72
czujnik1,26.43, czujnik2,26.26, czujnik3,26.75
czujnik1,38.98, czujnik2,26.24, czujnik3,37.84
czujnik1,39.06, czujnik2,24.91, czujnik3,27.67
czujnik1,39.06, czujnik2,27.82, czujnik3,29.27
czujnik1,25.97, czujnik2,25.85, czujnik3,38.27
czujnik1,38.54, czujnik2,26.68, czujnik3,37.84
czujnik1,39.08, czujnik2,25.82, czujnik3,27.35
czujnik1,24.39, czujnik2,28.76, czujnik3,32.57
czujnik1,23.98, czujnik2,26.80, czujnik3,27.26
czujnik1,26.34, czujnik2,26.75, czujnik3,27.30
czujnik1,25.03, czujnik2,26.60, czujnik3,30.19
czujnik1,26.79, czujnik2,27.41, czujnik3,37.74
czujnik1,39.06, czujnik2,27.53, czujnik3,30.56
czujnik1,25.48, czujnik2,26.31, czujnik3,27.74
czujnik1,26.75, czujnik2,26.19, czujnik3,26.48
czujnik1,25.63, czujnik2,27.06, czujnik3,25.97
czujnik1,22.70, czujnik2,26.77, czujnik3,27.67
czujnik1,23.01, czujnik2,27.59, czujnik3,38.27
czujnik1,23.11, czujnik2,27.94, czujnik3,38.27
czujnik1,22.30, czujnik2,27.18, czujnik3,38.15
czujnik1,22.33, czujnik2,28.38, czujnik3,38.25
czujnik1,22.24, czujnik2,27.31, czujnik3,38.21
czujnik1,22.35, czujnik2,26.80, czujnik3,37.81
czujnik1,22.79, czujnik2,26.85, czujnik3,38.15
czujnik1,23.74, czujnik2,25.71, czujnik3,37.81
czujnik1,23.16, czujnik2,27.36, czujnik3,37.33
czujnik1,23.25, czujnik2,29.32, czujnik3,37.81
czujnik1,22.33, czujnik2,40.43, czujnik3,38.11
czujnik1,22.76, czujnik2,30.07, czujnik3,38.27
czujnik1,23.04, czujnik2,28.10, czujnik3,32.16
czujnik1,22.76, czujnik2,27.16, czujnik3,38.21
czujnik1,22.76, czujnik2,26.34, czujnik3,38.11
czujnik1,22.31, czujnik2,26.85, czujnik3,38.21
czujnik1,22.18, czujnik2,26.45, czujnik3,38.21
czujnik1,22.35, czujnik2,26.80, czujnik3,38.20
czujnik1,22.81, czujnik2,27.26, czujnik3,38.11
czujnik1,23.25, czujnik2,26.55, czujnik3,38.21
czujnik1,23.16, czujnik2,26.55, czujnik3,37.79
czujnik1,23.71, czujnik2,26.85, czujnik3,37.81
czujnik1,23.25, czujnik2,27.26, czujnik3,38.11
czujnik1,23.27, czujnik2,27.36, czujnik3,38.25
czujnik1,22.70, czujnik2,27.77, czujnik3,24.80
czujnik1,23.67, czujnik2,25.58, czujnik3,23.21
czujnik1,26.73, czujnik2,23.64, czujnik3,23.66
czujnik1,38.67, czujnik2,23.69, czujnik3,24.61
