ujnik3,38.37, czujnik2,28.69, czujnik3,31.68
czujnik1,27.81, czujnik2,38.88, czujnik3,30.37
czujnik1,27.01, czujnik2,29.54, czujnik3,29.34
czujnik1,28.25, czujnik2,27.86, czujnik3,29.90
czujnik1,28.25, czujnik2,29.00, czujnik3,29.85
czujnik1,27.87, czujnik2,27.87, czujnik3,30.20
czujnik1,27.96, czujnik2,31.26, czujnik3,30.32
czujnik1,27.86, czujnik2,28.84, czujnik3,29.93
czujnik1,29.13, czujnik2,27.47, czujnik3,32.07
czujnik1,27.50, czujnik2,27.47, czujnik3,30.39
czujnik1,27.98, czujnik2,28.74, czujnik3,29.52
czujnik1,28.71, czujnik2,27.55, czujnik3,31.67
czujnik1,28.33, czujnik2,27.93, czujnik3,30.51
czujnik1,29.98, czujnik2,29.61, czujnik3,29.51
czujnik1,28.83, czujnik2,30.05, czujnik3,30.87
czujnik1,29.13, czujnik2,28.01, czujnik3,30.44
czujnik1,27.86, czujnik2,29.20, czujnik3,32.09
czujnik1,30.02, czujnik2,30.07, czujnik3,29.98
czujnik1,29.30, czujnik2,30.07, czujnik3,29.98
czujnik1,28.33, czujnik2,28.89, czujnik3,29.51
czujnik1,30.02, czujnik2,29.64, czujnik3,31.43
czujnik1,29.59, czujnik2,28.79, czujnik3,29.98
czujnik1,28.44, czujnik2,29.61, czujnik3,31.28
czujnik1,29.18, czujnik2,28.01, czujnik3,30.85
czujnik1,28.74, czujnik2,29.63, czujnik3,31.34
czujnik1,28.01, czujnik2,28.32, czujnik3,30.36
czujnik1,28.42, czujnik2,28.33, czujnik3,31.68
czujnik1,28.32, czujnik2,27.55, czujnik3,29.06
czujnik1,27.47, czujnik2,27.45, czujnik3,29.59
czujnik1,28.01, czujnik2,27.87, czujnik3,37.53
czujnik1,28.84, czujnik2,27.55, czujnik3,30.46
czujnik1,27.91, czujnik2,28.42, czujnik3,31.21
czujnik1,28.32, czujnik2,28.32, czujnik3,30.54
czujnik1,27.99, czujnik2,28.32, czujnik3,30.80
czujnik1,28.01, czujnik2,27.96, czujnik3,31.28
czujnik1,28.33, czujnik2,27.98, czujnik3,30.80
czujnik1,28.72, czujnik2,27.45, czujnik3,31.31
czujnik1,28.32, czujnik2,27.91, czujnik3,29.52
czujnik1,28.83, czujnik2,27.96, czujnik3,29.93
czujnik1,29.13, czujnik2,28.38, czujnik3,37.64
czujnik1,28.72, czujnik2,28.28, czujnik3,30.02
czujnik1,28.74, czujnik2,27.87, czujnik3,37.91
czujnik1,28.44, czujnik2,27.98, czujnik3,30.34
czujnik1,28.32, czujnik2,28.84, czujnik3,37.60
czujnik1,28.32, czujnik2,30.02, czujnik3,31.41
czujnik1,28.35, czujnik2,28.74, czujnik3,31.24
czujnik1,29.69, czujnik2,28.74, czujnik3,31.24
czujnik1,29.59, czujnik2,30.09, czujnik3,30.02
