3czujnik1,38.54, czujnik2,24.00, czujnik3,37.99
czujnik1,38.10, czujnik2,22.21, czujnik3,38.38
czujnik1,38.54, czujnik2,24.35, czujnik3,38.38
czujnik1,38.04, czujnik2,24.59, czujnik3,37.87
czujnik1,38.10, czujnik2,23.37, czujnik3,23.50
czujnik1,37.52, czujnik2,22.60, czujnik3,22.35
czujnik1,37.64, czujnik2,23.44, czujnik3,22.64
czujnik1,37.76, czujnik2,38.57, czujnik3,23.04
czujnik1,37.74, czujnik2,38.67, czujnik3,22.16
czujnik1,37.33, czujnik2,38.25, czujnik3,22.33
czujnik1,27.06, czujnik2,22.65, czujnik3,22.28
czujnik1,37.31, czujnik2,39.01, czujnik3,22.65
czujnik1,37.72, czujnik2,38.25, czujnik3,22.53
czujnik1,37.74, czujnik2,38.23, czujnik3,22.13
czujnik1,37.99, czujnik2,39.15, czujnik3,22.57
czujnik1,37.70, czujnik2,38.59, czujnik3,22.13
czujnik1,37.72, czujnik2,38.67, czujnik3,22.07
czujnik1,37.72, czujnik2,22.52, czujnik3,22.23
czujnik1,37.64, czujnik2,39.08, czujnik3,21.77
czujnik1,37.72, czujnik2,38.59, czujnik3,22.16
czujnik1,38.16, czujnik2,39.10, czujnik3,21.67
czujnik1,38.16, czujnik2,24.20, czujnik3,22.16
czujnik1,38.49, czujnik2,39.17, czujnik3,22.21
czujnik1,38.15, czujnik2,38.13, czujnik3,22.19
czujnik1,38.15, czujnik2,38.69, czujnik3,22.06
czujnik1,38.15, czujnik2,23.79, czujnik3,22.99
czujnik1,38.01, czujnik2,24.61, czujnik3,22.53
czujnik1,38.15, czujnik2,37.72, czujnik3,37.93
czujnik1,38.13, czujnik2,40.07, czujnik3,38.67
czujnik1,38.16, czujnik2,38.21, czujnik3,22.55
czujnik1,38.04, czujnik2,38.25, czujnik3,22.53
czujnik1,38.18, czujnik2,38.10, czujnik3,22.18
czujnik1,38.16, czujnik2,23.79, czujnik3,22.53
czujnik1,38.11, czujnik2,23.42, czujnik3,22.16
czujnik1,38.08, czujnik2,22.14, czujnik3,22.69
czujnik1,26.31, czujnik2,21.22, czujnik3,22.26
czujnik1,37.33, czujnik2,22.19, czujnik3,22.59
czujnik1,28.93, czujnik2,21.38, czujnik3,22.67
czujnik1,24.68, czujnik2,21.79, czujnik3,22.21
czujnik1,23.55, czujnik2,21.22, czujnik3,22.26
czujnik1,24.34, czujnik2,21.38, czujnik3,22.18
czujnik1,23.93, czujnik2,21.38, czujnik3,23.13
czujnik1,22.60, czujnik2,21.39, czujnik3,22.77
czujnik1,22.70, czujnik2,20.87, czujnik3,22.31
czujnik1,23.10, czujnik2,21.38, czujnik3,22.18
czujnik1,23.10, czujnik2,21.79, czujnik3,22.69
czujnik1,22.55, czujnik2,21.79, czujnik3,22.74
czujnik1,23.93, czujnik2,21.68, czujnik3,22.23
czujnik1,23.11, czujnik2,21.79, czujnik3,22.23
czujnik1,23.52, czujnik2,20.92, czujnik3,22.28
czujnik1,22.99, czujnik2,21.34, czujnik3,22.74
czujnik1,23.98, czujnik2,21.29, czujnik3,23.61
czujnik1,24.42, czujnik2,21.02, czujnik3,23.10
czujnik1,23.98, czujnik2,21.02, czujnik3,23.96
czujnik1,38.50, czujnik2,21.02, czujnik3,24.44
czujnik1,28.04, czujnik2,21.73, czujnik3,24.01
czujnik1,27.69, czujnik2,21.84, czujnik3,25.17
czujnik1,28.11, czujnik2,20.99, czujnik3,25.60
czujnik1,27.19, czujnik2,21.38, czujnik3,23.96
czujnik1,38.59, czujnik2,21.33, czujnik3,37.55
czujnik1,29.22, czujnik2,21.43, czujnik3,37.87
czujnik1,38.59, czujnik2,23.54, czujnik3,37.57
czujnik1,37.65, czujnik2,26.04, czujnik3,37.96
czujnik1,37.76, czujnik2,25.49, czujnik3,37.57
czujnik1,37.72, czujnik2,30.03, czujnik3,37.43
czujnik1,22.96, czujnik2,38.23, czujnik3,37.99
czujnik1,37.23, czujnik2,24.23, czujnik3,23.45
czujnik1,38.16, czujnik2,38.59, czujnik3,23.89
czujnik1,38.16, czujnik2,38.21, czujnik3,24.22
czujnik1,38.15, czujnik2,38.71, czujnik3,38.81
czujnik1,38.06, czujnik2,43.01, czujnik3,37.96
czujnik1,38.15, czujnik2,40.75, czujnik3,37.96
czujnik1,38.16, czujnik2,38.25, czujnik3,38.30
czujnik1,38.18, czujnik2,40.02, czujnik3,38.40
czujnik1,38.08, czujnik2,38.23, czujnik3,38.38
czujnik1,38.59, czujnik2,38.11, czujnik3,38.44
czujnik1,38.15, czujnik2,38.67, czujnik3,37.86
czujnik1,38.13, czujnik2,41.28, czujnik3,38.81
czujnik1,38.06, czujnik2,38.20, czujnik3,23.50
czujnik1,38.16, czujnik2,39.47, czujnik3,23.49
czujnik1,38.15, czujnik2,38.23, czujnik3,22.98
czujnik1,38.15, czujnik2,39.08, czujnik3,38.79
czujnik1,37.64, czujnik2,37.79, czujnik3,23.44
czujnik1,38.15, czujnik2,38.11, czujnik3,23.86
czujnik1,38.15, czujnik2,37.81, czujnik3,37.84
czujnik1,38.15, czujnik2,38.66, czujnik3,22.99
czujnik1,38.04, czujnik2,38.67, czujnik3,38.35
czujnik1,38.15, czujnik2,38.57, czujnik3,22.59
czujnik1,38.13, czujnik2,38.66, czujnik3,24.17
czujnik1,38.59, czujnik2,38.21, czujnik3,39.20
czujnik1,38.03, czujnik2,39.57, czujnik3,23.86
czujnik1,37.79, czujnik2,38.13, czujnik3,22.64
czujnik1,37.76, czujnik2,38.71, czujnik3,22.53
czujnik1,37.74, czujnik2,38.67, czujnik3,38.78
czujnik1,37.64, czujnik2,39.08, czujnik3,38.78
czujnik1,38.15, czujnik2,39.03, czujnik3,24.27
czujnik1,37.74, czujnik2,23.79, czujnik3,38.23
czujnik1,37.74, czujnik2,38.67, czujnik3,23.44
czujnik1,38.03, czujnik2,24.18, czujnik3,38.38
czujnik1,37.72, czujnik2,38.57, czujnik3,38.37
