czujnik1,38.16, czujnik2,38.67, czujnik3,38.37
czujnik1,38.03, czujnik2,38.25, czujnik3,38.37
czujnik1,38.55, czujnik2,38.13, czujnik3,38.38
czujnik1,38.16, czujnik2,38.25, czujnik3,38.35
czujnik1,38.03, czujnik2,39.12, czujnik3,37.96
czujnik1,38.61, czujnik2,39.01, czujnik3,38.35
czujnik1,38.08, czujnik2,38.69, czujnik3,37.94
czujnik1,37.74, czujnik2,38.55, czujnik3,37.96
czujnik1,38.16, czujnik2,40.53, czujnik3,37.84
czujnik1,38.15, czujnik2,38.25, czujnik3,37.94
czujnik1,37.67, czujnik2,38.67, czujnik3,37.96
czujnik1,38.16, czujnik2,38.15, czujnik3,37.91
czujnik1,38.18, czujnik2,38.25, czujnik3,37.87
czujnik1,37.76, czujnik2,38.21, czujnik3,37.96
czujnik1,38.06, czujnik2,38.71, czujnik3,37.96
czujnik1,38.16, czujnik2,39.91, czujnik3,37.94
czujnik1,38.57, czujnik2,39.17, czujnik3,37.82
czujnik1,38.62, czujnik2,38.25, czujnik3,37.96
czujnik1,37.67, czujnik2,38.72, czujnik3,38.76
czujnik1,38.16, czujnik2,38.55, czujnik3,38.35
czujnik1,38.16, czujnik2,38.25, czujnik3,37.86
czujnik1,38.16, czujnik2,38.69, czujnik3,37.96
czujnik1,38.06, czujnik2,39.59, czujnik3,38.76
czujnik1,38.16, czujnik2,39.47, czujnik3,38.33
czujnik1,38.16, czujnik2,39.69, czujnik3,38.27
czujnik1,38.59, czujnik2,38.25, czujnik3,38.32
czujnik1,37.65, czujnik2,40.49, czujnik3,38.32
czujnik1,38.18, czujnik2,38.13, czujnik3,38.37
czujnik1,38.21, czujnik2,39.15, czujnik3,38.27
czujnik1,38.15, czujnik2,38.71, czujnik3,37.96
czujnik1,38.06, czujnik2,38.69, czujnik3,38.79
czujnik1,38.16, czujnik2,38.55, czujnik3,37.96
czujnik1,38.18, czujnik2,39.15, czujnik3,38.27
czujnik1,37.81, czujnik2,39.63, czujnik3,38.76
czujnik1,38.11, czujnik2,38.25, czujnik3,38.33
czujnik1,37.77, czujnik2,38.62, czujnik3,37.98
czujnik1,38.16, czujnik2,38.25, czujnik3,37.86
