ujnik1,37.96, czujnik2,28.44, czujnik3,26.68
czujnik1,37.98, czujnik2,28.44, czujnik3,26.34
czujnik1,37.96, czujnik2,28.44, czujnik3,26.68
czujnik1,38.01, czujnik2,37.55, czujnik3,25.85
czujnik1,37.47, czujnik2,37.57, czujnik3,25.53
czujnik1,37.81, czujnik2,37.72, czujnik3,25.37
czujnik1,37.96, czujnik2,37.02, czujnik3,26.38
czujnik1,38.33, czujnik2,37.13, czujnik3,25.53
czujnik1,37.82, czujnik2,36.68, czujnik3,26.04
czujnik1,38.78, czujnik2,30.53, czujnik3,25.61
czujnik1,38.33, czujnik2,28.84, czujnik3,26.31
czujnik1,37.93, czujnik2,28.06, czujnik3,25.87
czujnik1,38.64, czujnik2,27.67, czujnik3,26.39
czujnik1,38.79, czujnik2,28.01, czujnik3,25.99
czujnik1,38.33, czujnik2,27.98, czujnik3,25.46
czujnik1,37.93, czujnik2,27.64, czujnik3,27.19
czujnik1,38.25, czujnik2,27.70, czujnik3,26.45
czujnik1,38.35, czujnik2,27.98, czujnik3,25.97
czujnik1,38.35, czujnik2,31.34, czujnik3,25.94
czujnik1,38.35, czujnik2,30.51, czujnik3,25.92
czujnik1,38.28, czujnik2,28.95, czujnik3,26.85
czujnik1,38.76, czujnik2,27.96, czujnik3,26.80
czujnik1,37.93, czujnik2,27.50, czujnik3,27.93
czujnik1,38.40, czujnik2,27.96, czujnik3,26.24
czujnik1,37.86, czujnik2,26.79, czujnik3,28.11
czujnik1,38.32, czujnik2,27.96, czujnik3,26.38
czujnik1,37.94, czujnik2,28.37, czujnik3,25.87
czujnik1,38.37, czujnik2,28.06, czujnik3,28.44
czujnik1,38.27, czujnik2,27.21, czujnik3,26.38
czujnik1,38.35, czujnik2,27.06, czujnik3,29.30
czujnik1,38.35, czujnik2,27.06, czujnik3,31.41
czujnik1,37.94, czujnik2,27.16, czujnik3,27.06
czujnik1,37.82, czujnik2,27.57, czujnik3,25.87
czujnik1,37.94, czujnik2,26.63, czujnik3,25.92
czujnik1,37.96, czujnik2,27.04, czujnik3,25.82
czujnik1,37.94, czujnik2,27.16, czujnik3,26.68
czujnik1,38.25, czujnik2,27.62, czujnik3,25.87
czujnik1,37.50, czujnik2,29.59, czujnik3,26.33
czujnik1,37.96, czujnik2,27.50, czujnik3,26.68
czujnik1,37.98, czujnik2,27.65, czujnik3,27.21
czujnik1,38.66, czujnik2,27.30, czujnik3,30.27
czujnik1,37.93, czujnik2,28.08, czujnik3,26.55
czujnik1,39.17, czujnik2,28.89, czujnik3,26.43
czujnik1,38.79, czujnik2,28.84, czujnik3,26.39
czujnik1,38.67, czujnik2,28.10, czujnik3,25.61
czujnik1,38.81, czujnik2,28.04, czujnik3,25.61
czujnik1,38.78, czujnik2,28.44, czujnik3,26.39
czujnik1,39.61, czujnik2,37.14, czujnik3,26.04
czujnik1,37.82, czujnik2,32.04, czujnik3,27.48
czujnik1,37.91, czujnik2,31.19, czujnik3,27.18
czujnik1,38.33, czujnik2,37.57, czujnik3,26.75
czujnik1,37.96, czujnik2,38.89, czujnik3,26.38
czujnik1,38.62, czujnik2,38.88, czujnik3,26.50
czujnik1,37.98, czujnik2,30.75, czujnik3,26.50
czujnik1,37.96, czujnik2,29.42, czujnik3,26.34
czujnik1,38.79, czujnik2,37.62, czujnik3,26.73
czujnik1,37.40, czujnik2,28.95, czujnik3,27.21
czujnik1,37.48, czujnik2,28.45, czujnik3,28.03
czujnik1,37.91, czujnik2,27.07, czujnik3,26.70
czujnik1,37.93, czujnik2,29.30, czujnik3,26.29
czujnik1,37.82, czujnik2,37.57, czujnik3,26.39
czujnik1,37.52, czujnik2,29.25, czujnik3,26.43
czujnik1,37.09, czujnik2,37.57, czujnik3,26.38
czujnik1,37.57, czujnik2,37.96, czujnik3,26.38
czujnik1,37.43, czujnik2,38.44, czujnik3,26.04
czujnik1,37.50, czujnik2,37.57, czujnik3,26.38
czujnik1,37.93, czujnik2,38.01, czujnik3,25.87
czujnik1,37.52, czujnik2,37.62, czujnik3,26.33
czujnik1,37.36, czujnik2,37.57, czujnik3,26.80
czujnik1,37.52, czujnik2,37.11, czujnik3,26.39
czujnik1,37.93, czujnik2,29.66, czujnik3,26.68
czujnik1,37.48, czujnik2,29.25, czujnik3,26.24
czujnik1,37.82, czujnik2,37.55, czujnik3,26.34
czujnik1,39.61, czujnik2,28.72, czujnik3,27.50
czujnik1,39.22, czujnik2,38.88, czujnik3,27.41
czujnik1,38.79, czujnik2,37.53, czujnik3,26.24
czujnik1,37.77, czujnik2,28.03, czujnik3,26.39
czujnik1,38.33, czujnik2,37.52, czujnik3,26.02
czujnik1,38.40, czujnik2,30.17, czujnik3,26.75
czujnik1,37.98, czujnik2,37.62, czujnik3,26.34
czujnik1,38.30, czujnik2,36.80, czujnik3,26.80
czujnik1,37.50, czujnik2,37.52, czujnik3,26.38
czujnik1,38.38, czujnik2,37.91, czujnik3,28.32
czujnik1,37.94, czujnik2,27.99, czujnik3,26.60
czujnik1,39.08, czujnik2,27.93, czujnik3,26.62
czujnik1,38.37, czujnik2,27.43, czujnik3,37.18
czujnik1,38.35, czujnik2,27.82, czujnik3,26.07
czujnik1,38.40, czujnik2,29.05, czujnik3,26.09
czujnik1,39.10, czujnik2,27.94, czujnik3,26.70
czujnik1,37.94, czujnik2,27.06, czujnik3,26.33
czujnik1,38.32, czujnik2,37.98, czujnik3,27.47
czujnik1,38.37, czujnik2,27.62, czujnik3,26.22
czujnik1,38.25, czujnik2,27.57, czujnik3,27.57
czujnik1,38.81, czujnik2,27.01, czujnik3,26.70
czujnik1,45.39, czujnik2,27.40, czujnik3,27.47
czujnik1,38.35, czujnik2,28.03, czujnik3,27.52
czujnik1,38.69, czujnik2,27.57, czujnik3,30.49
czujnik1,40.07, czujnik2,27.47, czujnik3,36.70
czujnik1,38.76, czujnik2,27.93, czujnik3,26.29
czujnik1,38.38, czujnik2,28.38, czujnik3,28.79
