nik1,39.63, czujnik2,40.56, czujnik3,14.27
czujnik1,39.17, czujnik2,39.91, czujnik3,7.52
czujnik1,39.61, czujnik2,40.88, czujnik3,9.32
czujnik1,39.29, czujnik2,39.69, czujnik3,8.47
czujnik1,39.59, czujnik2,39.59, czujnik3,8.06
czujnik1,39.56, czujnik2,39.56, czujnik3,8.01
czujnik1,39.63, czujnik2,40.61, czujnik3,8.57
czujnik1,40.12, czujnik2,40.49, czujnik3,8.55
czujnik1,39.73, czujnik2,39.69, czujnik3,8.47
czujnik1,39.54, czujnik2,40.14, czujnik3,9.05
czujnik1,39.52, czujnik2,39.59, czujnik3,8.62
czujnik1,39.68, czujnik2,40.03, czujnik3,8.93
czujnik1,39.68, czujnik2,41.07, czujnik3,8.93
czujnik1,39.63, czujnik2,40.14, czujnik3,9.03
czujnik1,39.69, czujnik2,39.61, czujnik3,9.03
czujnik1,40.09, czujnik2,39.68, czujnik3,8.93
czujnik1,39.73, czujnik2,40.15, czujnik3,8.93
czujnik1,39.57, czujnik2,41.92, czujnik3,9.91
czujnik1,39.68, czujnik2,39.17, czujnik3,8.16
czujnik1,39.69, czujnik2,39.73, czujnik3,8.47
czujnik1,39.68, czujnik2,39.69, czujnik3,8.06
czujnik1,40.00, czujnik2,39.27, czujnik3,8.16
czujnik1,39.71, czujnik2,40.05, czujnik3,8.57
czujnik1,40.09, czujnik2,40.56, czujnik3,8.06
czujnik1,39.59, czujnik2,39.69, czujnik3,8.62
czujnik1,39.25, czujnik2,40.46, czujnik3,9.03
czujnik1,39.71, czujnik2,39.59, czujnik3,8.93
czujnik1,39.69, czujnik2,40.15, czujnik3,10.27
czujnik1,39.57, czujnik2,39.69, czujnik3,10.27
czujnik1,39.27, czujnik2,40.03, czujnik3,9.90
czujnik1,39.69, czujnik2,39.29, czujnik3,9.80
czujnik1,39.73, czujnik2,40.61, czujnik3,9.80
czujnik1,39.18, czujnik2,40.56, czujnik3,10.36
czujnik1,39.71, czujnik2,40.05, czujnik3,9.49
czujnik1,39.68, czujnik2,40.92, czujnik3,8.93
czujnik1,39.73, czujnik2,39.27, czujnik3,8.93
czujnik1,39.17, czujnik2,39.29, czujnik3,9.03
czujnik1,39.32, czujnik2,39.17, czujnik3,9.03
czujnik1,39.69, czujnik2,39.29, czujnik3,9.81
czujnik1,39.73, czujnik2,40.61, czujnik3,8.93
czujnik1,39.63, czujnik2,40.15, czujnik3,9.03
czujnik1,39.68, czujnik2,40.48, czujnik3,9.91
czujnik1,39.73, czujnik2,39.69, czujnik3,8.52
czujnik1,39.57, czujnik2,39.68, czujnik3,9.39
czujnik1,39.63, czujnik2,39.63, czujnik3,9.91
czujnik1,39.68, czujnik2,39.29, czujnik3,8.95
czujnik1,39.69, czujnik2,40.14, czujnik3,8.93
czujnik1,39.63, czujnik2,39.71, czujnik3,9.97
czujnik1,110.10, czujnik2,39.15, czujnik3,9.49
czujnik1,39.27, czujnik2,40.49, czujnik3,8.52
czujnik1,39.69, czujnik2,39.73, czujnik3,9.80
czujnik1,39.17, czujnik2,41.05, czujnik3,8.62
czujnik1,39.27, czujnik2,40.05, czujnik3,9.51
czujnik1,39.69, czujnik2,39.69, czujnik3,8.93
czujnik1,39.29, czujnik2,41.02, czujnik3,9.85
czujnik1,39.59, czujnik2,39.23, czujnik3,8.62
czujnik1,39.27, czujnik2,39.63, czujnik3,9.95
czujnik1,39.71, czujnik2,41.02, czujnik3,9.39
czujnik1,40.14, czujnik2,39.71, czujnik3,8.93
czujnik1,39.56, czujnik2,39.22, czujnik3,9.97
czujnik1,40.10, czujnik2,39.59, czujnik3,9.85
czujnik1,39.73, czujnik2,39.29, czujnik3,9.39
czujnik1,39.13, czujnik2,40.61, czujnik3,9.03
