nik1,37.91, czujnik2,38.06, czujnik3,27.93
czujnik1,39.69, czujnik2,37.69, czujnik3,28.74
czujnik1,39.69, czujnik2,37.69, czujnik3,28.74
czujnik1,37.55, czujnik2,38.78, czujnik3,28.27
czujnik1,37.53, czujnik2,39.18, czujnik3,28.35
czujnik1,39.59, czujnik2,38.47, czujnik3,28.21
czujnik1,37.93, czujnik2,34.80, czujnik3,28.21
czujnik1,40.07, czujnik2,38.47, czujnik3,28.79
czujnik1,38.69, czujnik2,38.08, czujnik3,28.74
czujnik1,38.79, czujnik2,38.40, czujnik3,29.64
czujnik1,38.89, czujnik2,37.21, czujnik3,29.06
czujnik1,37.62, czujnik2,37.59, czujnik3,28.18
czujnik1,38.32, czujnik2,37.19, czujnik3,28.64
czujnik1,38.84, czujnik2,37.55, czujnik3,29.68
czujnik1,31.22, czujnik2,38.10, czujnik3,28.79
czujnik1,32.47, czujnik2,38.08, czujnik3,28.37
czujnik1,31.73, czujnik2,38.83, czujnik3,27.67
czujnik1,32.04, czujnik2,33.57, czujnik3,27.70
czujnik1,31.79, czujnik2,38.42, czujnik3,28.44
czujnik1,32.06, czujnik2,31.60, czujnik3,27.98
czujnik1,31.72, czujnik2,37.64, czujnik3,28.04
czujnik1,31.17, czujnik2,37.13, czujnik3,28.45
czujnik1,31.96, czujnik2,37.24, czujnik3,28.76
czujnik1,31.26, czujnik2,32.19, czujnik3,28.71
czujnik1,31.16, czujnik2,34.74, czujnik3,28.33
czujnik1,31.67, czujnik2,34.34, czujnik3,28.04
czujnik1,31.16, czujnik2,36.39, czujnik3,27.89
czujnik1,30.85, czujnik2,37.60, czujnik3,27.89
czujnik1,30.77, czujnik2,32.65, czujnik3,27.57
czujnik1,31.17, czujnik2,31.92, czujnik3,27.98
czujnik1,31.17, czujnik2,37.55, czujnik3,28.28
czujnik1,30.83, czujnik2,36.38, czujnik3,28.33
czujnik1,30.77, czujnik2,37.19, czujnik3,28.76
czujnik1,32.79, czujnik2,37.09, czujnik3,30.63
czujnik1,37.99, czujnik2,37.62, czujnik3,29.22
czujnik1,38.40, czujnik2,37.19, czujnik3,29.27
czujnik1,38.69, czujnik2,37.62, czujnik3,28.86
czujnik1,38.81, czujnik2,37.13, czujnik3,29.83
czujnik1,39.17, czujnik2,36.84, czujnik3,28.91
czujnik1,39.22, czujnik2,38.10, czujnik3,29.37
czujnik1,38.27, czujnik2,38.47, czujnik3,29.00
czujnik1,37.57, czujnik2,38.78, czujnik3,29.12
czujnik1,38.81, czujnik2,38.50, czujnik3,28.13
czujnik1,37.99, czujnik2,38.89, czujnik3,28.49
czujnik1,37.87, czujnik2,38.45, czujnik3,28.54
czujnik1,37.57, czujnik2,38.78, czujnik3,28.18
czujnik1,37.98, czujnik2,38.88, czujnik3,28.54
czujnik1,37.99, czujnik2,38.88, czujnik3,28.10
czujnik1,37.48, czujnik2,35.20, czujnik3,28.18
czujnik1,38.40, czujnik2,30.73, czujnik3,28.15
czujnik1,38.38, czujnik2,29.44, czujnik3,28.86
czujnik1,38.38, czujnik2,29.40, czujnik3,28.44
czujnik1,38.74, czujnik2,29.10, czujnik3,27.67
czujnik1,38.40, czujnik2,30.27, czujnik3,28.13
czujnik1,38.84, czujnik2,31.96, czujnik3,28.03
czujnik1,38.40, czujnik2,31.09, czujnik3,28.44
czujnik1,38.25, czujnik2,30.27, czujnik3,28.38
czujnik1,38.86, czujnik2,30.56, czujnik3,28.86
czujnik1,38.88, czujnik2,28.89, czujnik3,29.63
