ujnik1,38.06, czujnik2,16.63, czujnik3,37.55
czujnik1,38.20, czujnik2,39.56, czujnik3,37.96
czujnik1,38.06, czujnik2,16.63, czujnik3,37.55
czujnik1,38.20, czujnik2,39.56, czujnik3,37.96
czujnik1,38.16, czujnik2,39.61, czujnik3,37.96
czujnik1,38.20, czujnik2,39.91, czujnik3,37.53
czujnik1,38.21, czujnik2,39.63, czujnik3,37.96
czujnik1,38.04, czujnik2,39.12, czujnik3,37.94
czujnik1,38.20, czujnik2,38.25, czujnik3,37.94
czujnik1,38.08, czujnik2,39.59, czujnik3,37.53
czujnik1,38.61, czujnik2,39.01, czujnik3,37.96
czujnik1,38.20, czujnik2,38.71, czujnik3,37.84
czujnik1,38.18, czujnik2,39.54, czujnik3,37.55
czujnik1,38.10, czujnik2,39.59, czujnik3,15.02
czujnik1,38.18, czujnik2,39.03, czujnik3,37.91
czujnik1,16.77, czujnik2,40.09, czujnik3,15.48
czujnik1,17.23, czujnik2,38.25, czujnik3,15.05
czujnik1,17.23, czujnik2,39.57, czujnik3,37.53
czujnik1,17.65, czujnik2,38.61, czujnik3,14.73
czujnik1,38.23, czujnik2,39.66, czujnik3,37.84
czujnik1,18.04, czujnik2,38.69, czujnik3,15.05
czujnik1,17.60, czujnik2,39.61, czujnik3,37.89
czujnik1,18.47, czujnik2,39.17, czujnik3,15.46
czujnik1,17.64, czujnik2,39.12, czujnik3,38.21
czujnik1,38.25, czujnik2,39.57, czujnik3,37.53
czujnik1,17.65, czujnik2,40.02, czujnik3,37.96
czujnik1,18.50, czujnik2,39.97, czujnik3,37.53
czujnik1,18.10, czujnik2,38.71, czujnik3,37.84
czujnik1,18.04, czujnik2,39.15, czujnik3,15.46
czujnik1,17.19, czujnik2,39.66, czujnik3,14.32
czujnik1,16.73, czujnik2,38.57, czujnik3,14.37
czujnik1,16.72, czujnik2,39.57, czujnik3,13.84
czujnik1,16.26, czujnik2,38.69, czujnik3,14.22
czujnik1,16.67, czujnik2,39.63, czujnik3,14.52
czujnik1,15.80, czujnik2,38.61, czujnik3,14.59
czujnik1,16.26, czujnik2,39.13, czujnik3,14.95
czujnik1,17.13, czujnik2,39.12, czujnik3,14.27
czujnik1,17.13, czujnik2,39.59, czujnik3,13.44
czujnik1,17.59, czujnik2,39.17, czujnik3,14.01
czujnik1,17.59, czujnik2,38.71, czujnik3,14.37
czujnik1,18.47, czujnik2,16.67, czujnik3,14.59
czujnik1,38.15, czujnik2,16.26, czujnik3,14.59
czujnik1,20.14, czujnik2,15.87, czujnik3,14.42
czujnik1,18.45, czujnik2,16.67, czujnik3,15.46
czujnik1,38.21, czujnik2,16.28, czujnik3,14.57
czujnik1,38.10, czujnik2,16.28, czujnik3,37.55
czujnik1,38.23, czujnik2,17.13, czujnik3,37.53
czujnik1,38.20, czujnik2,16.73, czujnik3,37.43
czujnik1,18.52, czujnik2,16.33, czujnik3,37.53
czujnik1,38.13, czujnik2,15.87, czujnik3,37.94
czujnik1,38.20, czujnik2,16.33, czujnik3,37.53
czujnik1,19.32, czujnik2,16.28, czujnik3,37.81
czujnik1,38.18, czujnik2,16.21, czujnik3,37.89
czujnik1,38.08, czujnik2,16.68, czujnik3,37.55
czujnik1,37.79, czujnik2,17.14, czujnik3,37.53
czujnik1,38.23, czujnik2,17.18, czujnik3,37.43
czujnik1,38.23, czujnik2,16.77, czujnik3,37.91
czujnik1,38.11, czujnik2,16.79, czujnik3,37.53
czujnik1,38.21, czujnik2,16.79, czujnik3,37.53
czujnik1,18.55, czujnik2,17.19, czujnik3,37.40
czujnik1,38.23, czujnik2,40.09, czujnik3,37.55
czujnik1,38.08, czujnik2,39.10, czujnik3,37.94
czujnik1,16.92, czujnik2,39.20, czujnik3,37.94
czujnik1,17.74, czujnik2,39.69, czujnik3,37.84
czujnik1,16.92, czujnik2,18.40, czujnik3,37.53
czujnik1,15.65, czujnik2,38.71, czujnik3,37.93
czujnik1,16.51, czujnik2,39.61, czujnik3,37.53
czujnik1,17.79, czujnik2,39.68, czujnik3,37.84
czujnik1,16.50, czujnik2,40.07, czujnik3,37.96
czujnik1,16.92, czujnik2,39.73, czujnik3,37.96
czujnik1,18.54, czujnik2,18.35, czujnik3,37.94
czujnik1,16.87, czujnik2,18.76, czujnik3,37.79
czujnik1,16.00, czujnik2,18.76, czujnik3,13.10
czujnik1,16.82, czujnik2,18.76, czujnik3,13.03
czujnik1,16.82, czujnik2,19.57, czujnik3,12.74
czujnik1,16.80, czujnik2,39.57, czujnik3,13.50
czujnik1,16.82, czujnik2,20.46, czujnik3,12.64
