czujnik1,16.46, czujnik2,8.04, czujnik3,9.10
czujnik1,13.91, czujnik2,8.59, czujnik3,8.37
czujnik1,14.32, czujnik2,8.04, czujnik3,9.15
czujnik1,15.61, czujnik2,8.59, czujnik3,8.83
czujnik1,14.32, czujnik2,8.45, czujnik3,8.27
czujnik1,15.19, czujnik2,8.59, czujnik3,8.37
czujnik1,15.60, czujnik2,8.54, czujnik3,8.42
czujnik1,14.46, czujnik2,8.08, czujnik3,7.91
czujnik1,15.61, czujnik2,8.59, czujnik3,9.18
czujnik1,14.46, czujnik2,9.05, czujnik3,8.83
czujnik1,15.61, czujnik2,8.95, czujnik3,8.84
czujnik1,15.60, czujnik2,8.95, czujnik3,8.27
czujnik1,14.46, czujnik2,9.05, czujnik3,8.42
czujnik1,15.19, czujnik2,8.95, czujnik3,9.30
czujnik1,39.64, czujnik2,9.35, czujnik3,8.72
czujnik1,14.80, czujnik2,9.05, czujnik3,7.96
czujnik1,15.19, czujnik2,9.05, czujnik3,8.84
czujnik1,15.19, czujnik2,8.49, czujnik3,7.96
czujnik1,14.05, czujnik2,8.54, czujnik3,8.32
czujnik1,14.15, czujnik2,9.05, czujnik3,8.42
czujnik1,14.80, czujnik2,8.95, czujnik3,8.01
czujnik1,15.20, czujnik2,8.54, czujnik3,7.91
czujnik1,14.15, czujnik2,9.05, czujnik3,10.83
czujnik1,14.05, czujnik2,9.05, czujnik3,23.66
czujnik1,40.10, czujnik2,8.93, czujnik3,9.25
czujnik1,14.78, czujnik2,8.95, czujnik3,8.32
czujnik1,14.88, czujnik2,9.05, czujnik3,7.91
czujnik1,14.51, czujnik2,8.64, czujnik3,39.37
czujnik1,16.05, czujnik2,8.54, czujnik3,8.01
czujnik1,14.49, czujnik2,8.95, czujnik3,8.30
czujnik1,39.13, czujnik2,9.05, czujnik3,8.83
czujnik1,14.49, czujnik2,8.95, czujnik3,9.29
czujnik1,13.62, czujnik2,8.49, czujnik3,7.91
czujnik1,13.74, czujnik2,8.62, czujnik3,38.93
czujnik1,14.51, czujnik2,8.62, czujnik3,8.47
czujnik1,14.49, czujnik2,8.52, czujnik3,8.47
