czujnik1,39.10, czujnik2,46.36, czujnik3,37.93
czujnik1,38.88, czujnik2,38.25, czujnik3,37.93
czujnik1,39.03, czujnik2,38.69, czujnik3,37.82
czujnik1,38.62, czujnik2,38.67, czujnik3,37.94
czujnik1,39.47, czujnik2,45.43, czujnik3,37.89
czujnik1,38.81, czujnik2,41.96, czujnik3,37.53
czujnik1,38.54, czujnik2,38.66, czujnik3,37.57
czujnik1,39.01, czujnik2,18.57, czujnik3,37.98
czujnik1,38.61, czujnik2,38.67, czujnik3,37.86
czujnik1,38.62, czujnik2,38.25, czujnik3,37.94
czujnik1,38.93, czujnik2,40.00, czujnik3,16.58
czujnik1,39.03, czujnik2,44.23, czujnik3,37.96
czujnik1,38.64, czujnik2,38.25, czujnik3,16.17
czujnik1,38.61, czujnik2,42.24, czujnik3,15.37
czujnik1,38.52, czujnik2,38.25, czujnik3,14.54
czujnik1,38.21, czujnik2,43.84, czujnik3,37.94
czujnik1,38.64, czujnik2,37.84, czujnik3,37.84
czujnik1,39.08, czujnik2,14.74, czujnik3,16.19
czujnik1,18.96, czujnik2,38.69, czujnik3,37.94
czujnik1,39.05, czujnik2,39.01, czujnik3,37.94
czujnik1,18.52, czujnik2,16.84, czujnik3,38.30
czujnik1,39.44, czujnik2,39.56, czujnik3,37.94
czujnik1,38.54, czujnik2,43.11, czujnik3,37.96
czujnik1,19.39, czujnik2,15.14, czujnik3,37.94
czujnik1,39.46, czujnik2,14.73, czujnik3,37.86
czujnik1,39.06, czujnik2,41.43, czujnik3,15.36
czujnik1,39.34, czujnik2,38.25, czujnik3,37.53
czujnik1,39.03, czujnik2,39.88, czujnik3,15.83
czujnik1,38.67, czujnik2,44.74, czujnik3,37.86
czujnik1,38.62, czujnik2,38.25, czujnik3,37.94
czujnik1,38.98, czujnik2,38.25, czujnik3,37.94
czujnik1,39.03, czujnik2,40.34, czujnik3,37.96
czujnik1,39.91, czujnik2,39.98, czujnik3,37.87
czujnik1,39.10, czujnik2,40.02, czujnik3,37.94
czujnik1,39.35, czujnik2,38.71, czujnik3,37.94
czujnik1,38.62, czujnik2,39.01, czujnik3,38.35
czujnik1,39.46, czujnik2,40.02, czujnik3,37.86
czujnik1,39.06, czujnik2,38.23, czujnik3,37.94
czujnik1,38.54, czujnik2,37.79, czujnik3,15.00
czujnik1,39.05, czujnik2,38.57, czujnik3,17.52
czujnik1,39.01, czujnik2,42.60, czujnik3,38.28
czujnik1,38.64, czujnik2,40.90, czujnik3,37.94
czujnik1,20.24, czujnik2,38.69, czujnik3,37.94
czujnik1,19.52, czujnik2,39.47, czujnik3,37.94
czujnik1,19.12, czujnik2,38.28, czujnik3,37.89
czujnik1,18.71, czujnik2,38.69, czujnik3,38.37
czujnik1,19.52, czujnik2,38.67, czujnik3,15.41
czujnik1,39.47, czujnik2,39.03, czujnik3,15.05
czujnik1,39.06, czujnik2,40.02, czujnik3,15.36
czujnik1,39.05, czujnik2,38.25, czujnik3,37.99
czujnik1,38.50, czujnik2,42.69, czujnik3,37.96
czujnik1,38.69, czujnik2,40.77, czujnik3,37.96
czujnik1,38.66, czujnik2,40.41, czujnik3,37.86
czujnik1,38.61, czujnik2,39.12, czujnik3,37.96
czujnik1,38.57, czujnik2,40.44, czujnik3,37.96
czujnik1,39.05, czujnik2,39.03, czujnik3,37.94
czujnik1,39.03, czujnik2,39.54, czujnik3,37.86
czujnik1,39.05, czujnik2,38.69, czujnik3,37.99
czujnik1,38.59, czujnik2,38.25, czujnik3,37.98
czujnik1,39.10, czujnik2,38.15, czujnik3,37.94
czujnik1,39.01, czujnik2,38.69, czujnik3,37.89
czujnik1,39.05, czujnik2,39.56, czujnik3,16.60
czujnik1,39.35, czujnik2,43.52, czujnik3,37.96
czujnik1,39.46, czujnik2,38.55, czujnik3,37.94
czujnik1,39.49, czujnik2,38.69, czujnik3,37.86
czujnik1,39.12, czujnik2,38.66, czujnik3,37.98
czujnik1,38.98, czujnik2,39.56, czujnik3,37.94
czujnik1,39.08, czujnik2,41.28, czujnik3,37.93
czujnik1,39.06, czujnik2,39.15, czujnik3,38.28
czujnik1,38.62, czujnik2,39.15, czujnik3,37.57
czujnik1,38.54, czujnik2,38.23, czujnik3,37.94
czujnik1,38.59, czujnik2,43.42, czujnik3,37.98
czujnik1,39.44, czujnik2,41.21, czujnik3,37.84
czujnik1,39.46, czujnik2,39.98, czujnik3,37.94
czujnik1,38.52, czujnik2,39.12, czujnik3,38.37
czujnik1,38.27, czujnik2,38.13, czujnik3,37.94
czujnik1,39.44, czujnik2,39.12, czujnik3,37.84
czujnik1,39.05, czujnik2,44.83, czujnik3,37.94
czujnik1,18.10, czujnik2,38.69, czujnik3,37.94
czujnik1,39.46, czujnik2,40.09, czujnik3,37.98
czujnik1,39.05, czujnik2,38.69, czujnik3,37.86
czujnik1,18.50, czujnik2,38.71, czujnik3,37.99
czujnik1,38.57, czujnik2,39.57, czujnik3,37.96
czujnik1,38.62, czujnik2,39.40, czujnik3,37.98
czujnik1,38.62, czujnik2,38.23, czujnik3,37.89
czujnik1,18.13, czujnik2,38.64, czujnik3,37.98
czujnik1,38.50, czujnik2,44.76, czujnik3,38.35
czujnik1,39.06, czujnik2,38.59, czujnik3,37.99
czujnik1,38.64, czujnik2,39.98, czujnik3,37.84
czujnik1,38.62, czujnik2,38.23, czujnik3,37.98
czujnik1,38.52, czujnik2,39.12, czujnik3,37.96
czujnik1,39.49, czujnik2,15.20, czujnik3,37.94
czujnik1,40.32, czujnik2,14.46, czujnik3,37.84
czujnik1,39.08, czujnik2,14.46, czujnik3,17.06
czujnik1,38.54, czujnik2,14.85, czujnik3,37.94
czujnik1,20.14, czujnik2,15.61, czujnik3,37.98
czujnik1,39.08, czujnik2,39.13, czujnik3,37.87
czujnik1,39.44, czujnik2,38.25, czujnik3,37.99
czujnik1,38.98, czujnik2,40.95, czujnik3,37.96
czujnik1,39.10, czujnik2,38.61, czujnik3,37.98
