czujnik1,7.52, czujnik2,10.48, czujnik3,38.86
czujnik1,7.62, czujnik2,11.51, czujnik3,39.27
czujnik1,7.52, czujnik2,10.09, czujnik3,39.29
czujnik1,8.03, czujnik2,10.65, czujnik3,39.29
czujnik1,7.47, czujnik2,10.95, czujnik3,38.78
czujnik1,7.57, czujnik2,10.78, czujnik3,38.88
czujnik1,7.47, czujnik2,11.12, czujnik3,38.88
czujnik1,7.57, czujnik2,11.55, czujnik3,38.76
czujnik1,8.03, czujnik2,11.48, czujnik3,38.83
czujnik1,7.93, czujnik2,12.01, czujnik3,38.81
czujnik1,7.93, czujnik2,11.04, czujnik3,38.86
czujnik1,7.60, czujnik2,11.50, czujnik3,38.81
czujnik1,7.62, czujnik2,11.09, czujnik3,38.86
czujnik1,7.91, czujnik2,12.01, czujnik3,38.86
czujnik1,7.47, czujnik2,11.50, czujnik3,39.29
czujnik1,7.57, czujnik2,11.09, czujnik3,39.17
czujnik1,8.01, czujnik2,11.50, czujnik3,38.88
czujnik1,7.93, czujnik2,11.19, czujnik3,39.25
czujnik1,7.93, czujnik2,11.09, czujnik3,39.74
czujnik1,8.03, czujnik2,11.14, czujnik3,38.35
czujnik1,8.03, czujnik2,11.19, czujnik3,38.88
czujnik1,7.93, czujnik2,10.73, czujnik3,38.86
czujnik1,7.62, czujnik2,11.04, czujnik3,39.25
czujnik1,8.03, czujnik2,11.50, czujnik3,38.84
czujnik1,7.47, czujnik2,11.19, czujnik3,38.88
czujnik1,7.47, czujnik2,10.63, czujnik3,39.27
czujnik1,7.57, czujnik2,11.90, czujnik3,38.79
czujnik1,7.57, czujnik2,11.09, czujnik3,38.88
czujnik1,7.47, czujnik2,11.60, czujnik3,38.86
czujnik1,7.47, czujnik2,11.85, czujnik3,38.86
czujnik1,7.57, czujnik2,12.72, czujnik3,38.79
czujnik1,7.55, czujnik2,11.90, czujnik3,39.29
czujnik1,7.47, czujnik2,12.40, czujnik3,38.88
czujnik1,7.47, czujnik2,11.90, czujnik3,38.88
czujnik1,7.98, czujnik2,11.90, czujnik3,39.64
czujnik1,7.55, czujnik2,12.31, czujnik3,38.89
czujnik1,7.47, czujnik2,39.25, czujnik3,38.88
czujnik1,7.57, czujnik2,13.13, czujnik3,38.83
czujnik1,7.55, czujnik2,38.79, czujnik3,39.18
czujnik1,7.87, czujnik2,12.82, czujnik3,38.89
czujnik1,7.86, czujnik2,13.13, czujnik3,38.88
czujnik1,7.98, czujnik2,13.13, czujnik3,38.78
czujnik1,7.98, czujnik2,39.22, czujnik3,38.86
czujnik1,7.87, czujnik2,39.66, czujnik3,38.86
czujnik1,7.87, czujnik2,12.72, czujnik3,38.88
czujnik1,7.98, czujnik2,39.25, czujnik3,38.71
czujnik1,7.96, czujnik2,15.09, czujnik3,38.86
czujnik1,7.86, czujnik2,13.64, czujnik3,38.83
czujnik1,7.87, czujnik2,12.72, czujnik3,39.29
czujnik1,7.50, czujnik2,12.70, czujnik3,38.35
czujnik1,7.52, czujnik2,12.70, czujnik3,38.86
czujnik1,7.41, czujnik2,13.23, czujnik3,38.86
czujnik1,7.52, czujnik2,15.09, czujnik3,38.86
czujnik1,7.52, czujnik2,39.69, czujnik3,38.78
czujnik1,7.50, czujnik2,12.41, czujnik3,39.27
czujnik1,7.41, czujnik2,39.12, czujnik3,38.45
