ujnik1,20.20, czujnik2,17.74, czujnik3,20.54
czujnik1,20.20, czujnik2,17.74, czujnik3,20.54
czujnik1,18.93, czujnik2,18.21, czujnik3,19.30
czujnik1,20.12, czujnik2,17.84, czujnik3,19.78
czujnik1,19.30, czujnik2,17.86, czujnik3,19.68
czujnik1,19.34, czujnik2,18.30, czujnik3,18.84
czujnik1,19.74, czujnik2,18.27, czujnik3,19.78
czujnik1,19.61, czujnik2,18.25, czujnik3,19.30
czujnik1,18.88, czujnik2,17.81, czujnik3,18.45
czujnik1,18.88, czujnik2,17.79, czujnik3,18.86
czujnik1,20.10, czujnik2,18.67, czujnik3,17.52
czujnik1,19.61, czujnik2,19.44, czujnik3,18.86
czujnik1,22.57, czujnik2,18.61, czujnik3,18.40
czujnik1,38.15, czujnik2,19.44, czujnik3,17.52
czujnik1,38.57, czujnik2,19.00, czujnik3,17.98
czujnik1,38.06, czujnik2,21.19, czujnik3,17.93
czujnik1,22.57, czujnik2,19.47, czujnik3,16.63
czujnik1,20.94, czujnik2,20.36, czujnik3,16.65
czujnik1,23.44, czujnik2,21.63, czujnik3,17.52
czujnik1,19.63, czujnik2,20.82, czujnik3,20.60
czujnik1,20.90, czujnik2,21.17, czujnik3,20.14
czujnik1,22.60, czujnik2,20.82, czujnik3,16.65
czujnik1,23.42, czujnik2,20.46, czujnik3,24.76
czujnik1,38.04, czujnik2,20.41, czujnik3,16.65
czujnik1,19.74, czujnik2,19.95, czujnik3,16.22
czujnik1,20.56, czujnik2,19.69, czujnik3,21.87
czujnik1,24.68, czujnik2,20.49, czujnik3,16.63
czujnik1,20.46, czujnik2,20.51, czujnik3,19.47
czujnik1,20.17, czujnik2,20.82, czujnik3,20.34
czujnik1,24.29, czujnik2,18.88, czujnik3,19.47
czujnik1,23.83, czujnik2,18.47, czujnik3,16.22
czujnik1,22.60, czujnik2,18.47, czujnik3,17.06
czujnik1,23.89, czujnik2,18.01, czujnik3,24.54
czujnik1,21.84, czujnik2,18.47, czujnik3,17.84
czujnik1,22.60, czujnik2,19.34, czujnik3,17.06
czujnik1,23.38, czujnik2,18.91, czujnik3,18.30
czujnik1,21.38, czujnik2,19.32, czujnik3,18.28
czujnik1,20.61, czujnik2,18.06, czujnik3,17.50
czujnik1,21.43, czujnik2,18.06, czujnik3,16.63
czujnik1,20.51, czujnik2,19.34, czujnik3,18.30
czujnik1,21.02, czujnik2,18.86, czujnik3,17.06
czujnik1,20.17, czujnik2,19.69, czujnik3,16.63
czujnik1,20.15, czujnik2,18.88, czujnik3,16.65
czujnik1,20.05, czujnik2,18.47, czujnik3,19.47
czujnik1,23.06, czujnik2,20.87, czujnik3,15.82
czujnik1,23.06, czujnik2,18.01, czujnik3,15.78
czujnik1,21.39, czujnik2,20.97, czujnik3,15.78
czujnik1,20.87, czujnik2,18.42, czujnik3,17.47
