8czujnik1,38.38, czujnik2,38.04, czujnik3,27.47
czujnik1,38.27, czujnik2,37.45, czujnik3,26.51
czujnik1,38.38, czujnik2,37.50, czujnik3,28.84
czujnik1,37.96, czujnik2,38.04, czujnik3,29.35
czujnik1,38.83, czujnik2,38.06, czujnik3,26.60
czujnik1,37.74, czujnik2,38.37, czujnik3,27.13
czujnik1,37.86, czujnik2,37.98, czujnik3,31.75
czujnik1,38.33, czujnik2,37.57, czujnik3,28.89
czujnik1,38.35, czujnik2,37.14, czujnik3,29.18
czujnik1,37.94, czujnik2,38.06, czujnik3,28.44
czujnik1,38.71, czujnik2,38.06, czujnik3,30.48
czujnik1,37.96, czujnik2,37.96, czujnik3,28.06
czujnik1,38.37, czujnik2,37.57, czujnik3,27.06
czujnik1,37.94, czujnik2,37.59, czujnik3,29.15
czujnik1,38.25, czujnik2,37.55, czujnik3,29.56
czujnik1,38.40, czujnik2,37.43, czujnik3,27.11
czujnik1,38.35, czujnik2,37.59, czujnik3,27.87
czujnik1,38.35, czujnik2,37.59, czujnik3,26.17
czujnik1,38.25, czujnik2,37.60, czujnik3,25.87
czujnik1,38.81, czujnik2,37.91, czujnik3,25.83
czujnik1,38.35, czujnik2,38.01, czujnik3,27.06
czujnik1,38.81, czujnik2,38.06, czujnik3,26.29
czujnik1,37.86, czujnik2,38.03, czujnik3,26.38
czujnik1,37.94, czujnik2,37.91, czujnik3,26.85
czujnik1,38.40, czujnik2,38.11, czujnik3,26.29
czujnik1,38.38, czujnik2,38.01, czujnik3,25.83
czujnik1,38.69, czujnik2,37.99, czujnik3,25.94
czujnik1,37.98, czujnik2,37.86, czujnik3,26.39
czujnik1,39.25, czujnik2,37.94, czujnik3,37.09
czujnik1,38.38, czujnik2,39.32, czujnik3,37.18
czujnik1,38.25, czujnik2,38.89, czujnik3,37.19
czujnik1,37.94, czujnik2,38.28, czujnik3,37.53
czujnik1,38.35, czujnik2,29.63, czujnik3,37.53
czujnik1,38.76, czujnik2,27.99, czujnik3,26.60
czujnik1,37.84, czujnik2,28.33, czujnik3,27.01
czujnik1,38.76, czujnik2,29.86, czujnik3,29.93
czujnik1,38.79, czujnik2,28.23, czujnik3,27.31
czujnik1,38.35, czujnik2,29.05, czujnik3,36.39
czujnik1,38.71, czujnik2,29.17, czujnik3,36.77
czujnik1,38.35, czujnik2,29.01, czujnik3,30.71
czujnik1,38.38, czujnik2,29.00, czujnik3,28.49
