8czujnik1,38.16, czujnik2,38.69, czujnik3,16.60
czujnik1,38.20, czujnik2,37.82, czujnik3,17.06
czujnik1,38.08, czujnik2,38.18, czujnik3,17.06
czujnik1,37.74, czujnik2,39.15, czujnik3,15.37
czujnik1,37.76, czujnik2,39.15, czujnik3,17.06
czujnik1,37.94, czujnik2,39.12, czujnik3,16.60
czujnik1,38.11, czujnik2,38.71, czujnik3,17.04
czujnik1,38.18, czujnik2,38.13, czujnik3,16.19
czujnik1,37.76, czujnik2,37.82, czujnik3,15.77
czujnik1,38.21, czujnik2,48.88, czujnik3,15.36
czujnik1,38.04, czujnik2,39.57, czujnik3,14.54
czujnik1,38.21, czujnik2,38.13, czujnik3,14.64
czujnik1,37.79, czujnik2,38.25, czujnik3,14.54
czujnik1,37.79, czujnik2,38.20, czujnik3,15.41
czujnik1,38.04, czujnik2,38.66, czujnik3,15.83
czujnik1,37.74, czujnik2,39.01, czujnik3,15.82
czujnik1,37.76, czujnik2,38.71, czujnik3,15.82
czujnik1,37.81, czujnik2,46.41, czujnik3,42.47
czujnik1,38.10, czujnik2,38.23, czujnik3,15.41
czujnik1,37.81, czujnik2,39.46, czujnik3,39.59
czujnik1,37.81, czujnik2,40.48, czujnik3,39.47
czujnik1,38.21, czujnik2,38.71, czujnik3,49.42
czujnik1,38.10, czujnik2,37.81, czujnik3,14.57
czujnik1,37.79, czujnik2,42.91, czujnik3,14.64
czujnik1,38.16, czujnik2,38.71, czujnik3,16.60
czujnik1,38.16, czujnik2,39.12, czujnik3,16.19
czujnik1,37.64, czujnik2,39.52, czujnik3,15.41
czujnik1,37.81, czujnik2,40.85, czujnik3,14.37
czujnik1,37.77, czujnik2,39.51, czujnik3,14.27
czujnik1,37.79, czujnik2,39.56, czujnik3,15.02
czujnik1,38.06, czujnik2,39.52, czujnik3,17.14
czujnik1,38.16, czujnik2,38.13, czujnik3,39.17
czujnik1,37.79, czujnik2,38.67, czujnik3,13.84
czujnik1,38.18, czujnik2,38.66, czujnik3,14.32
czujnik1,38.11, czujnik2,38.23, czujnik3,15.00
czujnik1,38.21, czujnik2,37.72, czujnik3,14.42
czujnik1,38.18, czujnik2,38.23, czujnik3,103.45
czujnik1,38.18, czujnik2,38.67, czujnik3,13.86
czujnik1,38.10, czujnik2,38.25, czujnik3,14.27
czujnik1,38.16, czujnik2,38.55, czujnik3,15.09
czujnik1,38.61, czujnik2,38.23, czujnik3,14.54
czujnik1,38.20, czujnik2,45.24, czujnik3,15.83
czujnik1,38.54, czujnik2,38.71, czujnik3,41.38
czujnik1,38.18, czujnik2,39.05, czujnik3,15.09
czujnik1,38.20, czujnik2,38.25, czujnik3,15.00
czujnik1,38.20, czujnik2,38.69, czujnik3,15.00
czujnik1,38.10, czujnik2,39.12, czujnik3,14.27
czujnik1,38.21, czujnik2,38.59, czujnik3,14.69
