czujnik1,39.18, czujnik2,9.40, czujnik3,4.22
czujnik1,39.47, czujnik2,7.26, czujnik3,4.08
czujnik1,39.08, czujnik2,7.98, czujnik3,4.73
czujnik1,39.20, czujnik2,9.05, czujnik3,4.32
czujnik1,39.05, czujnik2,7.23, czujnik3,5.05
czujnik1,39.51, czujnik2,7.36, czujnik3,4.32
czujnik1,39.22, czujnik2,6.84, czujnik3,4.32
czujnik1,39.57, czujnik2,6.39, czujnik3,4.22
czujnik1,39.61, czujnik2,7.36, czujnik3,4.32
czujnik1,39.54, czujnik2,7.36, czujnik3,4.78
czujnik1,39.61, czujnik2,7.70, czujnik3,4.78
czujnik1,39.64, czujnik2,6.94, czujnik3,4.68
czujnik1,39.08, czujnik2,8.23, czujnik3,4.76
czujnik1,39.54, czujnik2,9.34, czujnik3,4.68
czujnik1,39.61, czujnik2,9.30, czujnik3,5.44
czujnik1,39.20, czujnik2,9.86, czujnik3,4.68
czujnik1,39.54, czujnik2,10.73, czujnik3,4.68
czujnik1,39.18, czujnik2,8.88, czujnik3,5.60
czujnik1,39.18, czujnik2,9.76, czujnik3,4.57
czujnik1,39.59, czujnik2,9.03, czujnik3,4.73
czujnik1,39.49, czujnik2,8.55, czujnik3,5.14
czujnik1,39.20, czujnik2,8.52, czujnik3,5.09
czujnik1,39.61, czujnik2,8.64, czujnik3,4.73
czujnik1,39.49, czujnik2,7.77, czujnik3,5.14
czujnik1,39.61, czujnik2,7.26, czujnik3,4.73
czujnik1,39.66, czujnik2,7.24, czujnik3,4.63
czujnik1,39.18, czujnik2,8.18, czujnik3,5.54
czujnik1,39.52, czujnik2,15.39, czujnik3,5.09
czujnik1,39.64, czujnik2,8.03, czujnik3,5.43
czujnik1,39.63, czujnik2,7.72, czujnik3,5.85
czujnik1,39.08, czujnik2,7.31, czujnik3,5.03
czujnik1,39.64, czujnik2,7.62, czujnik3,5.44
czujnik1,40.00, czujnik2,7.60, czujnik3,5.80
czujnik1,39.23, czujnik2,7.72, czujnik3,5.90
czujnik1,39.06, czujnik2,7.31, czujnik3,6.79
czujnik1,39.18, czujnik2,8.03, czujnik3,5.44
czujnik1,39.64, czujnik2,7.72, czujnik3,4.93
czujnik1,39.52, czujnik2,8.13, czujnik3,5.95
czujnik1,40.37, czujnik2,7.26, czujnik3,4.73
czujnik1,39.61, czujnik2,6.84, czujnik3,4.63
czujnik1,39.64, czujnik2,6.96, czujnik3,4.25
czujnik1,39.10, czujnik2,6.50, czujnik3,5.19
czujnik1,39.64, czujnik2,7.19, czujnik3,4.73
czujnik1,39.18, czujnik2,6.89, czujnik3,4.63
czujnik1,39.18, czujnik2,6.50, czujnik3,5.14
czujnik1,39.93, czujnik2,6.34, czujnik3,5.60
czujnik1,39.64, czujnik2,6.84, czujnik3,4.63
czujnik1,39.64, czujnik2,6.94, czujnik3,5.14
czujnik1,39.08, czujnik2,7.36, czujnik3,5.14
czujnik1,39.64, czujnik2,6.38, czujnik3,4.68
czujnik1,39.61, czujnik2,7.36, czujnik3,5.44
czujnik1,39.56, czujnik2,6.43, czujnik3,5.14
czujnik1,39.10, czujnik2,6.50, czujnik3,4.71
czujnik1,39.64, czujnik2,6.39, czujnik3,4.57
czujnik1,39.20, czujnik2,6.50, czujnik3,5.14
czujnik1,39.54, czujnik2,6.90, czujnik3,5.54
czujnik1,39.18, czujnik2,7.67, czujnik3,5.09
czujnik1,40.02, czujnik2,6.80, czujnik3,4.98
czujnik1,39.61, czujnik2,6.90, czujnik3,4.68
czujnik1,39.10, czujnik2,6.90, czujnik3,6.00
czujnik1,39.61, czujnik2,6.75, czujnik3,5.05
czujnik1,39.64, czujnik2,7.72, czujnik3,4.98
czujnik1,39.91, czujnik2,6.84, czujnik3,5.09
czujnik1,39.61, czujnik2,6.75, czujnik3,5.49
czujnik1,39.64, czujnik2,6.75, czujnik3,4.98
czujnik1,39.20, czujnik2,7.31, czujnik3,5.09
czujnik1,39.10, czujnik2,7.31, czujnik3,5.54
