4czujnik1,16.77, czujnik2,39.97, czujnik3,37.82
czujnik1,15.92, czujnik2,40.77, czujnik3,38.37
czujnik1,38.89, czujnik2,38.67, czujnik3,37.96
czujnik1,38.52, czujnik2,38.89, czujnik3,37.81
czujnik1,21.24, czujnik2,39.01, czujnik3,37.45
czujnik1,38.37, czujnik2,19.86, czujnik3,37.53
czujnik1,38.91, czujnik2,16.05, czujnik3,37.96
czujnik1,17.19, czujnik2,19.03, czujnik3,37.52
czujnik1,19.29, czujnik2,21.53, czujnik3,37.47
czujnik1,38.62, czujnik2,17.81, czujnik3,37.94
czujnik1,17.59, czujnik2,16.99, czujnik3,37.55
czujnik1,16.36, czujnik2,17.40, czujnik3,37.55
czujnik1,15.95, czujnik2,17.04, czujnik3,37.87
czujnik1,39.44, czujnik2,38.66, czujnik3,38.33
czujnik1,15.95, czujnik2,38.66, czujnik3,37.53
czujnik1,38.57, czujnik2,16.33, czujnik3,37.94
czujnik1,15.97, czujnik2,15.92, czujnik3,17.82
czujnik1,16.00, czujnik2,17.60, czujnik3,37.94
czujnik1,38.95, czujnik2,15.49, czujnik3,37.96
czujnik1,39.05, czujnik2,16.77, czujnik3,37.94
czujnik1,38.59, czujnik2,16.36, czujnik3,37.86
czujnik1,17.23, czujnik2,16.36, czujnik3,37.94
czujnik1,18.45, czujnik2,15.51, czujnik3,37.96
czujnik1,38.64, czujnik2,15.97, czujnik3,37.94
czujnik1,39.91, czujnik2,15.97, czujnik3,37.86
czujnik1,39.01, czujnik2,16.38, czujnik3,37.55
czujnik1,17.13, czujnik2,15.92, czujnik3,37.57
czujnik1,39.05, czujnik2,15.14, czujnik3,37.96
czujnik1,17.18, czujnik2,14.74, czujnik3,37.84
czujnik1,16.84, czujnik2,14.78, czujnik3,37.96
czujnik1,38.49, czujnik2,15.36, czujnik3,37.94
czujnik1,38.66, czujnik2,15.24, czujnik3,37.94
czujnik1,38.66, czujnik2,14.78, czujnik3,37.82
czujnik1,39.00, czujnik2,14.78, czujnik3,37.93
czujnik1,38.54, czujnik2,14.88, czujnik3,37.96
czujnik1,38.98, czujnik2,15.24, czujnik3,37.96
czujnik1,39.06, czujnik2,15.26, czujnik3,37.47
czujnik1,38.59, czujnik2,15.71, czujnik3,37.55
czujnik1,38.11, czujnik2,16.22, czujnik3,37.55
czujnik1,38.23, czujnik2,17.09, czujnik3,37.53
czujnik1,16.29, czujnik2,17.48, czujnik3,37.43
czujnik1,38.23, czujnik2,16.63, czujnik3,37.53
czujnik1,16.31, czujnik2,16.22, czujnik3,38.32
czujnik1,38.18, czujnik2,16.21, czujnik3,37.96
czujnik1,38.59, czujnik2,17.53, czujnik3,37.86
czujnik1,38.64, czujnik2,40.54, czujnik3,17.82
czujnik1,38.08, czujnik2,38.23, czujnik3,16.60
czujnik1,39.06, czujnik2,39.88, czujnik3,16.19
czujnik1,38.61, czujnik2,38.71, czujnik3,16.17
czujnik1,38.61, czujnik2,39.12, czujnik3,15.78
czujnik1,38.52, czujnik2,38.71, czujnik3,38.32
czujnik1,38.64, czujnik2,41.26, czujnik3,37.96
czujnik1,17.48, czujnik2,40.00, czujnik3,37.84
czujnik1,16.26, czujnik2,18.10, czujnik3,37.91
